"Provider Number","Hospital Name","Address1","Address2","Address3","City","State","ZIP Code","County Name","Phone Number","Hospital Type","Hospital Ownership","Emergency Service","GeoProviderId","Lat","Lon"
"150115","MEMORIAL HOSPITAL AND HEALTH CARE CENTER","800 W 9TH STREET","","","JASPER","IN","47546","DUBOIS","8124822345","Acute Care Hospitals","Voluntary non-profit - Church","Yes","150115","38.394992","-86.940895"
"150125","COMMUNITY HOSPITAL","901 MAC ARTHUR BOULEVARD","","","MUNSTER","IN","46321","LAKE","2198361600","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150125","41.550651","-87.506187"
"150126","FRANCISCAN ST ANTHONY HEALTH - CROWN POINT","1201 S MAIN ST","","","CROWN POINT","IN","46307","LAKE","2197576100","Acute Care Hospitals","Voluntary non-profit - Church","Yes","150126","41.395765","-87.366888"
"150128","COMMUNITY HOSPITAL SOUTH","1402 E COUNTY LINE RD S","","","INDIANAPOLIS","IN","46227","MARION","3178877112","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150128","39.6365539","-86.132546"
"150129","WESTVIEW HOSPITAL","3630 GUION RD","","","INDIANAPOLIS","IN","46222","MARION","3179207288","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150129","39.820996","-86.222506"
"150133","KOSCIUSKO COMMUNITY HOSPITAL","2101 E DUBOIS DR","","","WARSAW","IN","46580","KOSCIUSKO","5743727611","Acute Care Hospitals","Proprietary","Yes","150133","41.247864","-85.829274"
"150146","PARKVIEW NOBLE HOSPITAL","401 SAWYER ROAD","","","KENDALLVILLE","IN","46755","NOBLE","2603478700","Acute Care Hospitals","Government - Local","Yes","150146","41.4509017","-85.2934429"
"150149","WOMEN'S HOSPITAL THE","4199 GATEWAY BLVD","","","NEWBURGH","IN","47630","WARRICK","8128424200","Acute Care Hospitals","Proprietary","No","150149","37.975496","-87.446022"
"150150","DUPONT HOSPITAL LLC","2520 E DUPONT RD","","","FORT WAYNE","IN","46825","ALLEN","2604163023","Acute Care Hospitals","Proprietary","Yes","150150","41.174876","-85.10943"
"150153","ST VINCENT HEART CENTER OF INDIANA LLC","10580 N MERIDIAN ST","","","INDIANAPOLIS","IN","46290","HAMILTON","3175835000","Acute Care Hospitals","Proprietary","Yes","150153","39.940039","-86.159297"
"150154","INDIANA HEART HOSPITAL THE","8075 N SHADELAND AVE","","","INDIANAPOLIS","IN","46250","MARION","3176218063","Acute Care Hospitals","Proprietary","Yes","150154","39.9019895","-86.0460768"
"150157","ST VINCENT CARMEL HOSPITAL INC","13500 N MERIDIAN ST","","","CARMEL","IN","46032","HAMILTON","3175827000","Acute Care Hospitals","Voluntary non-profit - Church","Yes","150157","39.982751","-86.143426"
"150158","INDIANA UNIVERSITY HEALTH WEST HOSPITAL","1111 N RONALD REAGAN PARKWAY","","","AVON","IN","46123","HENDRICKS","3172173000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150158","39.780334","-86.339701"
"150160","INDIANA ORTHOPAEDIC HOSPITAL LLC","8400 NORTHWEST BLVD","","","INDIANAPOLIS","IN","46278","MARION","3179561000","Acute Care Hospitals","Proprietary","No","150160","39.9078198","-86.266396"
"150161","INDIANA UNIVERSITY HEALTH NORTH HOSPITAL","11700 N MERIDIAN ST","","","CARMEL","IN","46032","HAMILTON","3176882000","Acute Care Hospitals","Proprietary","Yes","150161","39.959294","-86.162338"
"150162","ST FRANCIS HOSPITAL AND HEALTH CENTERS-INDIANAPOLI","8111 S EMERSON AVENUE","","","INDIANAPOLIS","IN","46237","MARION","3178655001","Acute Care Hospitals","Voluntary non-profit - Church","Yes","150162","39.6483541","-86.0823324"
"150163","SAINT CATHERINE REGIONAL HOSPITAL","2200  MARKET STREET","","","CHARLESTOWN","IN","47111","CLARK","8122563301","Acute Care Hospitals","Proprietary","No","150163","38.473918","-85.669971"
"150164","MONROE HOSPITAL","4011 S MONROE MEDICAL PARK BLVD","","","BLOOMINGTON","IN","47403","MONROE","8128251111","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150164","39.1206938","-86.5719066"
"150165","FRANCISCAN PHYSICIANS HOSPITAL LLC","701 SUPERIOR AVENUE","","","MUNSTER","IN","46321","LAKE","2199224200","Acute Care Hospitals","Voluntary non-profit - Private","No","150165","41.538216","-87.512311"
"150166","PINNACLE HOSPITAL","9301 CONNECTICUT DRIVE","","","CROWN POINT","IN","46307","LAKE","2197562100","Acute Care Hospitals","Proprietary","No","150166","41.448139","-87.32808"
"150167","ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC","11130 PARKVIEW CIRCLE DR","","","FORT WAYNE","IN","46845","ALLEN","2606724050","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150167","41.1896871","-85.0998244"
"150168","THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR","7952 W JEFFERSON BLVD","","","FT WAYNE","IN","46804","ALLEN","2604352999","Acute Care Hospitals","Government - State","No","150168","41.0366891","-85.2468779"
"150169","COMMUNITY HOSPITAL NORTH","7150 CLEARVISTA DRIVE","","","INDIANAPOLIS","IN","46256","MARION","3176215335","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150169","39.901019","-86.0409449"
"150170","SURGICAL HOSPITAL OF MUNSTER","7847 CALUMET AVE","","","MUNSTER","IN","46321","LAKE","2198365102","Acute Care Hospitals","Proprietary","No","150170","41.5704635","-87.5089747"
"150172","PHYSICIANS' MEDICAL CENTER LLC","4023 REAS LANE","","","NEW ALBANY","IN","47150","FLOYD","8122067660","Acute Care Hospitals","Proprietary","No","150172","38.3387286","-85.8271001"
"150173","INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL","5165 MCCARTY LANE","","","LAFAYETTE","IN","47905","TIPPECANOE","7654488000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150173","40.3994173","-86.8088411"
"150175","THE HEART HOSPITAL AT DEACONESS GATEWAY LLC","4007 GATEWAY BLVD","","","NEWBURGH","IN","47630","WARRICK","8128424784","Acute Care Hospitals","Proprietary","No","150175","37.974807","-87.44457"
"150176","KENTUCKIANA MEDICAL CENTER LLC","4601 MEDICAL PLAZA WAY","","","CLARKSVILLE","IN","47129","CLARK","8122803300","Acute Care Hospitals","Proprietary","No","150176","38.3195845","-85.7717907"
"150177","UNITY MEDICAL AND SURGICAL HOSPITAL","4455 EDISON LAKES PKWY","","","MISHAWAKA","IN","46545","ST JOSEPH","5742316800","Acute Care Hospitals","Proprietary","No","150177","41.7008203","-86.1768363"
"151300","COMMUNITY HOSPITAL OF BREMEN INC","1020 HIGH ROAD","","","BREMEN","IN","46506","MARSHALL","5745462211","Critical Access Hospitals","Voluntary non-profit - Private","Yes","151300","41.4558089","-86.1536796"
"151301","ST VINCENT RANDOLPH HOSPITAL INC","473 E GREENVILLE AVENUE","","","WINCHESTER","IN","47394","RANDOLPH","7655840004","Critical Access Hospitals","Voluntary non-profit - Private","Yes","151301","40.168613","-84.969159"
"151302","BLACKFORD COMMUNITY HOSPITAL","410 PILGRIM BOULEVARD","","","HARTFORD CITY                 ","IN","47348","BLACKFORD","7653480300","Critical Access Hospitals","Voluntary non-profit - Private","Yes","151302","40.4689548","-85.3720072"
"151303","ST VINCENT JENNINGS HOSPITAL INC","301 HENRY ST","","","NORTH VERNON","IN","47265","JENNINGS","8123524200","Critical Access Hospitals","Voluntary non-profit - Church","Yes","151303","39.009424","-85.6415619"
"151304","RUSH MEMORIAL HOSPITAL","1300 N MAIN ST","","","RUSHVILLE                     ","IN","46173","RUSH","7659327513","Critical Access Hospitals","Government - Local","Yes","151304","39.6218297","-85.4442"
"151307","ST VINCENT WILLIAMSPORT HOSPITAL INC","412 N MONROE STREET","","","WILLIAMSPORT","IN","47993","WARREN","7657624000","Critical Access Hospitals","Voluntary non-profit - Church","Yes","151307","40.2902299","-87.2955541"
"151308","ST VINCENT MERCY HOSPITAL","1331 SOUTH A ST","","","ELWOOD","IN","46036","MADISON","7655524594","Critical Access Hospitals","Voluntary non-profit - Church","Yes","151308","40.2755","-85.843727"
"151309","ST VINCENT CLAY HOSPITAL INC","1206 E NATIONAL AVE","","","BRAZIL","IN","47834","CLAY","8124422500","Critical Access Hospitals","Voluntary non-profit - Private","Yes","151309","39.528443","-87.111832"
"151310","WABASH COUNTY HOSPITAL","710 N EAST STREET","","","WABASH","IN","46992","WABASH","2605633131","Critical Access Hospitals","Government - Local","Yes","151310","40.806901","-85.815747"
"151311","TIPTON HOSPITAL","1000 S MAIN ST","","","TIPTON","IN","46072","TIPTON","7656758500","Critical Access Hospitals","Government - Local","Yes","151311","40.271833","-86.0423239"
"151312","WHITE COUNTY MEMORIAL HOSPITAL","720 S SIXTH STREET","","","MONTICELLO","IN","47960","WHITE","5745837111","Critical Access Hospitals","Government - Local","Yes","151312","40.7349136","-86.7776822"
"151314","ST VINCENT SALEM HOSPITAL INC","911 N SHELBY ST","","","SALEM                         ","IN","47167","WASHINGTON","8128835881","Critical Access Hospitals","Voluntary non-profit - Other","Yes","151314","38.6103989","-86.1077118"
"151315","CAMERON MEMORIAL COMMUNITY HOSPITAL INC","416 E MAUMEE STREET","","","ANGOLA","IN","46703","STEUBEN","2606652141","Critical Access Hospitals","Voluntary non-profit - Private","Yes","151315","41.6348859","-84.9955915"
"151316","ST VINCENT FRANKFORT HOSPITAL INC","1300 S JACKSON ST","","","FRANKFORT","IN","46041","CLINTON","7656563000","Critical Access Hospitals","Voluntary non-profit - Church","Yes","151316","40.269311","-86.510913"
"151317","GREENE COUNTY GENERAL HOSPITAL","LONE TREE RD RR 1 BOX 1000","","","LINTON","IN","47441","GREENE","8128475212","Critical Access Hospitals","Government - Local","Yes","151317","39.0347666","-87.1658458"
"151318","DUKES MEMORIAL HOSPITAL","275 W 12TH STREET","","","PERU","IN","46970","MIAMI","7654728000","Critical Access Hospitals","Voluntary non-profit - Private","Yes","151318","40.7561734","-86.0844108"
"151319","GIBSON GENERAL HOSPITAL","1808 SHERMAN DRIVE","","","PRINCETON","IN","47670","GIBSON","8123853401","Critical Access Hospitals","Voluntary non-profit - Private","Yes","151319","38.360282","-87.5888718"
"151320","JAY COUNTY HOSPITAL","500 W VOTAW ST","","","PORTLAND","IN","47371","JAY","2607267131","Critical Access Hospitals","Government - Local","Yes","151320","40.4393932","-84.9838336"
"151322","PERRY COUNTY MEMORIAL HOSPITAL","ONE HOSPITAL ROAD","","","TELL CITY","IN","47586","PERRY","8125477011","Critical Access Hospitals","Government - Local","Yes","151322","37.928198","-86.7580488"
"151323","PARKVIEW LAGRANGE HOSPITAL","207 N TOWNLINE ROAD","","","LAGRANGE","IN","46761","LAGRANGE","2604639000","Critical Access Hospitals","Government - Federal","Yes","151323","41.6446486","-85.4249002"
"151324","JASPER COUNTY HOSPITAL","1104 E GRACE STREET","","","RENSSELAER","IN","47978","JASPER","2198665141","Critical Access Hospitals","Voluntary non-profit - Other","Yes","151324","40.933585","-87.136874"
"151325","ST MARY'S WARRICK HOSPITAL INC","1116 MILLIS AVE","","","BOONVILLE","IN","47601","WARRICK","8128974800","Critical Access Hospitals","Voluntary non-profit - Private","Yes","151325","38.0414013","-87.2622236"
"151326","UNION HOSPITAL CLINTON","801 S MAIN ST","","","CLINTON","IN","47842","VERMILLION","7658321234","Critical Access Hospitals","Voluntary non-profit - Private","Yes","151326","39.652868","-87.399056"
"151327","SULLIVAN COUNTY COMMUNITY HOSPITAL","2200 N SECTION STREET","","","SULLIVAN","IN","47882","SULLIVAN","8122684311","Critical Access Hospitals","Government - Local","Yes","151327","39.1211715","-87.4091779"
"151328","BEDFORD REGIONAL MEDICAL CENTER","2900 W 16TH ST","","","BEDFORD","IN","47421","LAWRENCE","8122751200","Critical Access Hospitals","Voluntary non-profit - Private","Yes","151328","38.8609651","-86.5121398"
"151329","MARGARET MARY COMMUNITY HOSPITAL INC","321 MITCHELL AVENUE","","","BATESVILLE","IN","47006","RIPLEY","8129346624","Critical Access Hospitals","Voluntary non-profit - Private","Yes","151329","39.3040727","-85.2264523"
"151330","ADAMS  MEMORIAL HOSPITAL","1100 MERCER AVENUE","","","DECATUR","IN","46733","ADAMS","2607242145","Critical Access Hospitals","Government - Local","Yes","151330","40.81647","-84.9135809"
"151331","HARRISON COUNTY HOSPITAL","1141 HOSPITAL DRIVE NW","","","CORYDON","IN","47112","HARRISON","8127384251","Critical Access Hospitals","Government - Local","Yes","151331","38.2377621","-86.1476144"
"151332","DECATUR COUNTY MEMORIAL HOSPITAL","720 N LINCOLN STREET","","","GREENSBURG","IN","47240","DECATUR","8126634331","Critical Access Hospitals","Government - Local","Yes","151332","39.3432923","-85.4793734"
"151333","PUTNAM COUNTY HOSPITAL","1542 S BLOOMINGTON ST","","","GREENCASTLE","IN","46135","PUTNAM","7656552620","Critical Access Hospitals","Government - Local","Yes","151333","39.6218401","-86.8458916"
"151334","SCOTT COUNTY  MEMORIAL HOSPITAL AKA SCOTT MEMORIAL","1451 N GARDNER ST","","","SCOTTSBURG","IN","47170","SCOTT","8127523456","Critical Access Hospitals","Government - Local","Yes","151334","38.704988","-85.786882"
"151335","ST VINCENT DUNN HOSPITAL INC","1600 23RD STREET","","","BEDFORD","IN","47421","LAWRENCE","8122753331","Critical Access Hospitals","Voluntary non-profit - Other","Yes","151335","38.853322","-86.494527"
"160001","MARSHALLTOWN MEDICAL & SURGICAL CENTER","3 SOUTH 4TH AVENUE","","","MARSHALLTOWN","IA","50158","MARSHALL","6417545151","Acute Care Hospitals","Voluntary non-profit - Private","Yes","160001","42.0485524","-92.9062546"
"160005","ST ANTHONY REGIONAL HOSPITAL","311 SOUTH CLARK STREET","","","CARROLL","IA","51401","CARROLL","7127923581","Acute Care Hospitals","Voluntary non-profit - Church","Yes","160005","42.0559704","-94.867714"
"160008","KEOKUK AREA HOSPITAL","1600 MORGAN STREET","","","KEOKUK","IA","52632","LEE","3195247150","Acute Care Hospitals","Voluntary non-profit - Private","Yes","160008","40.4069479","-91.3881973"
"160013","TRINITY MUSCATINE","1518 MULBERRY AVENUE","","","MUSCATINE","IA","52761","MUSCATINE","5632649100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","160013","41.433128","-91.054128"
"160016","TRINITY REGIONAL MEDICAL CENTER","802 KENYON RD","","","FORT DODGE","IA","50501","WEBSTER","5155738710","Acute Care Hospitals","Voluntary non-profit - Private","Yes","160016","42.4939779","-94.1891112"
"160024","IOWA LUTHERAN HOSPITAL","700 EAST UNIVERSITY AVENUE","","","DES MOINES","IA","50316","POLK","5152635612","Acute Care Hospitals","Voluntary non-profit - Private","No","160024","41.6004354","-93.6108569"
"160028","ALEGENT HEALTH MERCY HOSPITAL","800 MERCY DRIVE","","","COUNCIL BLUFFS","IA","51503","POTTAWATTAMIE","7123285000","Acute Care Hospitals","Voluntary non-profit - Church","Yes","160028","41.268856","-95.839233"
"160029","MERCY HOSPITAL","500 E MARKET STREET","","","IOWA CITY","IA","52245","JOHNSON","3193390300","Acute Care Hospitals","Voluntary non-profit - Church","Yes","160029","41.664111","-91.528407"
"160030","MARY GREELEY MEDICAL CENTER","1111 DUFF AVENUE","","","AMES","IA","50010","STORY","5152392011","Acute Care Hospitals","Government - Local","Yes","160030","42.0324643","-93.6121845"
"160032","SKIFF MEDICAL CENTER","204 NORTH 4TH AVENUE EAST","","","NEWTON","IA","50208","JASPER","6417921273","Acute Care Hospitals","Government - Local","Yes","160032","41.702633","-93.055161"
"160033","GENESIS MEDICAL CENTER-DAVENPORT","1227 EAST RUSHOLME STREET","","","DAVENPORT","IA","52803","SCOTT","5634211000","Acute Care Hospitals","Voluntary non-profit - Other","Yes","160033","41.541899","-90.556911"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","","","DES MOINES                    ","IA","50310","POLK","5156995999","ACUTE CARE - VETERANS ADMINISTRATION","Government Federal","NO","16003F","41.627818","-93.664428"
"160040","SARTORI MEMORIAL HOSPITAL","515 COLLEGE STREET","","","CEDAR FALLS","IA","50613","BLACK HAWK","3192683000","Acute Care Hospitals","Voluntary non-profit - Church","Yes","160040","42.533955","-92.458382"
"160045","ST LUKES HOSPITAL","1026 A AVE NE","","","CEDAR RAPIDS","IA","52402","LINN","3193697211","Acute Care Hospitals","Voluntary non-profit - Private","Yes","160045","41.985703","-91.660933"
"160047","JENNIE EDMUNDSON HOSPITAL","933 EAST PIERCE STREET","","","COUNCIL BLUFFS","IA","51503","POTTAWATTAMIE","7123966000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","160047","41.2693181","-95.8351484"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","","","IOWA CITY                     ","IA","52246","JOHNSON","3193380581","ACUTE CARE - VETERANS ADMINISTRATION","Government Federal","NO","16004F","41.6667289","-91.559129"
"160057","GREAT RIVER MEDICAL CENTER","1221 SOUTH GEAR AVENUE","","","WEST BURLINGTON","IA","52655","DES MOINES","3197681000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","160057","40.8104793","-91.1702547"
"160058","UNIVERSITY OF IOWA HOSPITAL & CLINICS","200 HAWKINS DRIVE","","","IOWA CITY","IA","52242","JOHNSON","3193561616","Acute Care Hospitals","Government - State","Yes","160058","41.6573652","-91.5498892"
"160064","MERCY MEDICAL CENTER-NORTH IOWA","1000 FOURTH STREET SW","","","MASON CITY","IA","50401","CERRO GORDO","6414227000","Acute Care Hospitals","Voluntary non-profit - Church","Yes","160064","43.150633","-93.217178"
"160067","COVENANT MEDICAL CENTER","3421 WEST NINTH STREET","","","WATERLOO","IA","50702","BLACK HAWK","3192728000","Acute Care Hospitals","Voluntary non-profit - Church","Yes","160067","42.4641224","-92.3453925"
