Provider Number,Condition,Score
150160,Heart Attack or Chest Pain Process of Care Measures,N/A
50732,Pneumonia Process of Care Measures,75
361319,Pneumonia Process of Care Measures,93
240004,Heart Attack or Chest Pain Process of Care Measures,N/A
450886,Heart Attack or Chest Pain Process of Care Measures,N/A
410009,Pneumonia Process of Care Measures,89
390268,Heart Failure Process of Care Measures,100
10043,Heart Attack or Chest Pain Process of Care Measures,N/A
511311,Heart Attack or Chest Pain Process of Care Measures,N/A
120006,Pneumonia Process of Care Measures,97
510082,Heart Failure Process of Care Measures,37
141349,Surgical Care Improvement Project Process of Care Measures,N/A
260096,Heart Attack or Chest Pain Process of Care Measures,99
520078,Pneumonia Process of Care Measures,98
650001,Surgical Care Improvement Project Process of Care Measures,N/A
460010,Surgical Care Improvement Project Process of Care Measures,89
141318,Surgical Care Improvement Project Process of Care Measures,100
510031,Surgical Care Improvement Project Process of Care Measures,90
100285,Surgical Care Improvement Project Process of Care Measures,100
100231,Heart Attack or Chest Pain Process of Care Measures,100
230004,Heart Attack or Chest Pain Process of Care Measures,100
520116,Surgical Care Improvement Project Process of Care Measures,87
50471,Heart Attack or Chest Pain Process of Care Measures,90
141302,Heart Attack or Chest Pain Process of Care Measures,N/A
410013,Heart Attack or Chest Pain Process of Care Measures,100
361307,Heart Attack or Chest Pain Process of Care Measures,100
390316,Heart Attack or Chest Pain Process of Care Measures,N/A
460033,Heart Attack or Chest Pain Process of Care Measures,N/A
361321,Pneumonia Process of Care Measures,100
390100,Surgical Care Improvement Project Process of Care Measures,95
390197,Surgical Care Improvement Project Process of Care Measures,93
150037,Surgical Care Improvement Project Process of Care Measures,98
150021,Pneumonia Process of Care Measures,95
390019,Heart Attack or Chest Pain Process of Care Measures,N/A
360123,Heart Failure Process of Care Measures,100
490021,Surgical Care Improvement Project Process of Care Measures,100
150162,Heart Attack or Chest Pain Process of Care Measures,100
161311,Heart Attack or Chest Pain Process of Care Measures,N/A
440061,Heart Failure Process of Care Measures,85
291306,Surgical Care Improvement Project Process of Care Measures,N/A
90008,Heart Attack or Chest Pain Process of Care Measures,N/A
50121,Pneumonia Process of Care Measures,92
150163,Heart Attack or Chest Pain Process of Care Measures,N/A
110121,Pneumonia Process of Care Measures,97
11302,Pneumonia Process of Care Measures,75
240080,Heart Attack or Chest Pain Process of Care Measures,100
150084,Pneumonia Process of Care Measures,100
230036,Pneumonia Process of Care Measures,98
310040,Pneumonia Process of Care Measures,90
260147,Pneumonia Process of Care Measures,33
330403,Heart Attack or Chest Pain Process of Care Measures,N/A
360115,Heart Attack or Chest Pain Process of Care Measures,96
370169,Surgical Care Improvement Project Process of Care Measures,N/A
260006,Heart Failure Process of Care Measures,100
230021,Surgical Care Improvement Project Process of Care Measures,98
130063,Heart Failure Process of Care Measures,N/A
10034,Surgical Care Improvement Project Process of Care Measures,100
160033,Surgical Care Improvement Project Process of Care Measures,95
430090,Heart Attack or Chest Pain Process of Care Measures,N/A
10066,Surgical Care Improvement Project Process of Care Measures,N/A
260057,Heart Attack or Chest Pain Process of Care Measures,100
260147,Pneumonia Process of Care Measures,100
161366,Surgical Care Improvement Project Process of Care Measures,93
251308,Heart Attack or Chest Pain Process of Care Measures,N/A
290019,Surgical Care Improvement Project Process of Care Measures,90
511309,Heart Attack or Chest Pain Process of Care Measures,N/A
670057,Pneumonia Process of Care Measures,N/A
140166,Surgical Care Improvement Project Process of Care Measures,100
390035,Heart Attack or Chest Pain Process of Care Measures,N/A
281341,Heart Attack or Chest Pain Process of Care Measures,N/A
450833,Heart Attack or Chest Pain Process of Care Measures,N/A
45066F,Heart Attack or Chest Pain Process of Care Measures,99
430027,Heart Attack or Chest Pain Process of Care Measures,98
440063,Surgical Care Improvement Project Process of Care Measures,100
50280,Surgical Care Improvement Project Process of Care Measures,99
50028,Heart Attack or Chest Pain Process of Care Measures,100
450841,Heart Failure Process of Care Measures,67
500030,Surgical Care Improvement Project Process of Care Measures,94
361319,Heart Attack or Chest Pain Process of Care Measures,N/A
260048,Surgical Care Improvement Project Process of Care Measures,99
370020,Heart Attack or Chest Pain Process of Care Measures,92
150149,Surgical Care Improvement Project Process of Care Measures,99
201310,Pneumonia Process of Care Measures,97
501333,Pneumonia Process of Care Measures,100
390321,Surgical Care Improvement Project Process of Care Measures,100
50568,Surgical Care Improvement Project Process of Care Measures,94
450730,Surgical Care Improvement Project Process of Care Measures,89
521328,Surgical Care Improvement Project Process of Care Measures,N/A
50169,Heart Attack or Chest Pain Process of Care Measures,N/A
370057,Heart Attack or Chest Pain Process of Care Measures,N/A
240132,Heart Attack or Chest Pain Process of Care Measures,100
460042,Heart Failure Process of Care Measures,100
120006,Heart Attack or Chest Pain Process of Care Measures,95
50159,Surgical Care Improvement Project Process of Care Measures,100
520097,Surgical Care Improvement Project Process of Care Measures,99
100081,Heart Attack or Chest Pain Process of Care Measures,N/A
450743,Heart Attack or Chest Pain Process of Care Measures,95
390057,Pneumonia Process of Care Measures,99
330197,Surgical Care Improvement Project Process of Care Measures,99
31315,Surgical Care Improvement Project Process of Care Measures,N/A
330397,Heart Attack or Chest Pain Process of Care Measures,92
30012,Heart Attack or Chest Pain Process of Care Measures,100
23009F,Surgical Care Improvement Project Process of Care Measures,N/A
170010,Heart Failure Process of Care Measures,100
400079,Heart Attack or Chest Pain Process of Care Measures,100
520194,Pneumonia Process of Care Measures,N/A
50278,Heart Attack or Chest Pain Process of Care Measures,N/A
330094,Heart Failure Process of Care Measures,90
370173,Pneumonia Process of Care Measures,97
450018,Heart Attack or Chest Pain Process of Care Measures,N/A
50680,Heart Attack or Chest Pain Process of Care Measures,100
450883,Pneumonia Process of Care Measures,100
310028,Surgical Care Improvement Project Process of Care Measures,98
360271,Heart Attack or Chest Pain Process of Care Measures,N/A
380060,Pneumonia Process of Care Measures,85
151324,Surgical Care Improvement Project Process of Care Measures,95
270049,Heart Attack or Chest Pain Process of Care Measures,100
360112,Heart Attack or Chest Pain Process of Care Measures,100
100299,Heart Attack or Chest Pain Process of Care Measures,97
241354,Heart Attack or Chest Pain Process of Care Measures,100
370190,Surgical Care Improvement Project Process of Care Measures,72
360077,Heart Failure Process of Care Measures,86
70004,Surgical Care Improvement Project Process of Care Measures,82
330073,Surgical Care Improvement Project Process of Care Measures,100
451350,Heart Attack or Chest Pain Process of Care Measures,N/A
410001,Pneumonia Process of Care Measures,96
250138,Surgical Care Improvement Project Process of Care Measures,98
100217,Pneumonia Process of Care Measures,100
520078,Surgical Care Improvement Project Process of Care Measures,85
100154,Surgical Care Improvement Project Process of Care Measures,100
210018,Heart Attack or Chest Pain Process of Care Measures,100
30055,Surgical Care Improvement Project Process of Care Measures,76
161352,Heart Attack or Chest Pain Process of Care Measures,N/A
301306,Surgical Care Improvement Project Process of Care Measures,100
300018,Pneumonia Process of Care Measures,98
360038,Pneumonia Process of Care Measures,88
51306,Surgical Care Improvement Project Process of Care Measures,N/A
150010,Heart Attack or Chest Pain Process of Care Measures,100
100142,Surgical Care Improvement Project Process of Care Measures,96
370080,Surgical Care Improvement Project Process of Care Measures,100
280129,Pneumonia Process of Care Measures,N/A
381311,Surgical Care Improvement Project Process of Care Measures,N/A
510007,Heart Attack or Chest Pain Process of Care Measures,97
190013,Heart Attack or Chest Pain Process of Care Measures,100
340143,Surgical Care Improvement Project Process of Care Measures,100
50423,Surgical Care Improvement Project Process of Care Measures,N/A
260062,Heart Attack or Chest Pain Process of Care Measures,465
390114,Pneumonia Process of Care Measures,100
261328,Pneumonia Process of Care Measures,N/A
140186,Heart Failure Process of Care Measures,98
390063,Pneumonia Process of Care Measures,94
341315,Heart Attack or Chest Pain Process of Care Measures,N/A
520017,Heart Attack or Chest Pain Process of Care Measures,63
520189,Heart Attack or Chest Pain Process of Care Measures,95
50385,Surgical Care Improvement Project Process of Care Measures,82
310091,Heart Failure Process of Care Measures,100
500011,Surgical Care Improvement Project Process of Care Measures,99
140084,Heart Attack or Chest Pain Process of Care Measures,95
100072,Heart Attack or Chest Pain Process of Care Measures,100
100287,Surgical Care Improvement Project Process of Care Measures,90
340002,Surgical Care Improvement Project Process of Care Measures,98
50158,Surgical Care Improvement Project Process of Care Measures,100
100128,Heart Attack or Chest Pain Process of Care Measures,98
240056,Pneumonia Process of Care Measures,96
220074,Heart Attack or Chest Pain Process of Care Measures,84
10152,Heart Failure Process of Care Measures,100
310076,Surgical Care Improvement Project Process of Care Measures,93
230096,Pneumonia Process of Care Measures,97
161374,Pneumonia Process of Care Measures,91
50752,Heart Failure Process of Care Measures,76
450438,Heart Failure Process of Care Measures,94
50393,Pneumonia Process of Care Measures,93
330350,Surgical Care Improvement Project Process of Care Measures,100
450638,Surgical Care Improvement Project Process of Care Measures,100
171327,Heart Attack or Chest Pain Process of Care Measures,N/A
330101,Surgical Care Improvement Project Process of Care Measures,90
150022,Surgical Care Improvement Project Process of Care Measures,100
61328,Surgical Care Improvement Project Process of Care Measures,N/A
190102,Pneumonia Process of Care Measures,88
151327,Pneumonia Process of Care Measures,98
450824,Heart Attack or Chest Pain Process of Care Measures,100
50488,Heart Attack or Chest Pain Process of Care Measures,9
150004,Heart Attack or Chest Pain Process of Care Measures,94
511301,Heart Attack or Chest Pain Process of Care Measures,N/A
171367,Pneumonia Process of Care Measures,100
41331,Heart Attack or Chest Pain Process of Care Measures,N/A
50073,Pneumonia Process of Care Measures,64
330396,Surgical Care Improvement Project Process of Care Measures,73
521335,Surgical Care Improvement Project Process of Care Measures,N/A
210015,Heart Failure Process of Care Measures,97
390195,Surgical Care Improvement Project Process of Care Measures,97
50496,Surgical Care Improvement Project Process of Care Measures,99
50242,Heart Attack or Chest Pain Process of Care Measures,99
391300,Heart Attack or Chest Pain Process of Care Measures,N/A
260020,Heart Attack or Chest Pain Process of Care Measures,85
510085,Pneumonia Process of Care Measures,86
330125,Pneumonia Process of Care Measures,98
120001,Pneumonia Process of Care Measures,85
50541,Pneumonia Process of Care Measures,99
450620,Heart Attack or Chest Pain Process of Care Measures,N/A
350063,Heart Attack or Chest Pain Process of Care Measures,N/A
200002,Surgical Care Improvement Project Process of Care Measures,97
450087,Heart Failure Process of Care Measures,99
521313,Pneumonia Process of Care Measures,100
371312,Pneumonia Process of Care Measures,71
30120,Pneumonia Process of Care Measures,97
420057,Pneumonia Process of Care Measures,N/A
250078,Surgical Care Improvement Project Process of Care Measures,99
50588,Surgical Care Improvement Project Process of Care Measures,0
370099,Heart Attack or Chest Pain Process of Care Measures,N/A
450358,Heart Attack or Chest Pain Process of Care Measures,N/A
510071,Surgical Care Improvement Project Process of Care Measures,93
140040,Heart Attack or Chest Pain Process of Care Measures,8
180050,Pneumonia Process of Care Measures,100
230047,Surgical Care Improvement Project Process of Care Measures,100
360071,Surgical Care Improvement Project Process of Care Measures,94
140103,Surgical Care Improvement Project Process of Care Measures,60
140252,Surgical Care Improvement Project Process of Care Measures,91
450877,Heart Failure Process of Care Measures,97
351336,Surgical Care Improvement Project Process of Care Measures,94
33011F,Heart Failure Process of Care Measures,100
330403,Heart Failure Process of Care Measures,N/A
440137,Surgical Care Improvement Project Process of Care Measures,100
50055,Surgical Care Improvement Project Process of Care Measures,100
450130,Heart Attack or Chest Pain Process of Care Measures,N/A
450087,Surgical Care Improvement Project Process of Care Measures,84
40042,Heart Attack or Chest Pain Process of Care Measures,20
100092,Pneumonia Process of Care Measures,100
320005,Surgical Care Improvement Project Process of Care Measures,90
140101,Heart Attack or Chest Pain Process of Care Measures,100
190273,Surgical Care Improvement Project Process of Care Measures,92
310086,Surgical Care Improvement Project Process of Care Measures,99
320058,Heart Attack or Chest Pain Process of Care Measures,N/A
320021,Surgical Care Improvement Project Process of Care Measures,99
30067,Pneumonia Process of Care Measures,93
450586,Surgical Care Improvement Project Process of Care Measures,100
520070,Heart Attack or Chest Pain Process of Care Measures,N/A
100281,Heart Attack or Chest Pain Process of Care Measures,99
190184,Pneumonia Process of Care Measures,94
450085,Surgical Care Improvement Project Process of Care Measures,75
201300,Heart Attack or Chest Pain Process of Care Measures,100
261319,Pneumonia Process of Care Measures,98
210056,Pneumonia Process of Care Measures,93
61314,Heart Failure Process of Care Measures,0
170110,Surgical Care Improvement Project Process of Care Measures,46
330401,Heart Attack or Chest Pain Process of Care Measures,N/A
500129,Heart Attack or Chest Pain Process of Care Measures,100
140029,Surgical Care Improvement Project Process of Care Measures,98
330394,Surgical Care Improvement Project Process of Care Measures,96
360192,Pneumonia Process of Care Measures,100
490042,Heart Attack or Chest Pain Process of Care Measures,100
371306,Pneumonia Process of Care Measures,84
40041,Heart Attack or Chest Pain Process of Care Measures,14
281317,Surgical Care Improvement Project Process of Care Measures,N/A
110028,Heart Attack or Chest Pain Process of Care Measures,97
450813,Heart Attack or Chest Pain Process of Care Measures,N/A
241351,Pneumonia Process of Care Measures,100
370225,Pneumonia Process of Care Measures,N/A
50145,Pneumonia Process of Care Measures,92
171366,Heart Failure Process of Care Measures,0
360096,Surgical Care Improvement Project Process of Care Measures,75
330144,Heart Attack or Chest Pain Process of Care Measures,N/A
440227,Pneumonia Process of Care Measures,96
260091,Heart Attack or Chest Pain Process of Care Measures,100
100001,Surgical Care Improvement Project Process of Care Measures,97
390016,Surgical Care Improvement Project Process of Care Measures,N/A
230270,Heart Failure Process of Care Measures,100
420016,Pneumonia Process of Care Measures,81
390116,Heart Attack or Chest Pain Process of Care Measures,100
440180,Heart Attack or Chest Pain Process of Care Measures,93
330218,Heart Failure Process of Care Measures,81
340113,Heart Failure Process of Care Measures,100
511312,Surgical Care Improvement Project Process of Care Measures,N/A
340132,Heart Failure Process of Care Measures,76
510031,Pneumonia Process of Care Measures,93
240022,Heart Failure Process of Care Measures,0
140008,Heart Failure Process of Care Measures,100
400001,Surgical Care Improvement Project Process of Care Measures,85
151323,Surgical Care Improvement Project Process of Care Measures,94
490033,Surgical Care Improvement Project Process of Care Measures,100
260183,Heart Attack or Chest Pain Process of Care Measures,98
220071,Surgical Care Improvement Project Process of Care Measures,100
100051,Heart Attack or Chest Pain Process of Care Measures,100
351316,Heart Attack or Chest Pain Process of Care Measures,N/A
390231,Surgical Care Improvement Project Process of Care Measures,96
281334,Surgical Care Improvement Project Process of Care Measures,N/A
131321,Pneumonia Process of Care Measures,N/A
440018,Heart Attack or Chest Pain Process of Care Measures,86
450889,Heart Failure Process of Care Measures,N/A
241314,Heart Failure Process of Care Measures,100
340055,Heart Failure Process of Care Measures,100
500064,Pneumonia Process of Care Measures,91
241380,Pneumonia Process of Care Measures,100
100299,Heart Attack or Chest Pain Process of Care Measures,N/A
370049,Surgical Care Improvement Project Process of Care Measures,100
450097,Heart Attack or Chest Pain Process of Care Measures,100
390168,Heart Failure Process of Care Measures,100
60013,Pneumonia Process of Care Measures,92
330084,Heart Attack or Chest Pain Process of Care Measures,100
281303,Pneumonia Process of Care Measures,N/A
190176,Pneumonia Process of Care Measures,96
260142,Heart Failure Process of Care Measures,75
450547,Pneumonia Process of Care Measures,85
250093,Heart Attack or Chest Pain Process of Care Measures,N/A
450108,Pneumonia Process of Care Measures,93
670047,Surgical Care Improvement Project Process of Care Measures,98
110183,Heart Attack or Chest Pain Process of Care Measures,61
360357,Pneumonia Process of Care Measures,N/A
100069,Surgical Care Improvement Project Process of Care Measures,100
260176,Surgical Care Improvement Project Process of Care Measures,97
500079,Pneumonia Process of Care Measures,85
231311,Surgical Care Improvement Project Process of Care Measures,N/A
450231,Heart Failure Process of Care Measures,100
670025,Pneumonia Process of Care Measures,100
181322,Surgical Care Improvement Project Process of Care Measures,N/A
50195,Surgical Care Improvement Project Process of Care Measures,96
60008,Pneumonia Process of Care Measures,88
110087,Heart Attack or Chest Pain Process of Care Measures,98
141346,Heart Attack or Chest Pain Process of Care Measures,N/A
370218,Surgical Care Improvement Project Process of Care Measures,98
41302,Surgical Care Improvement Project Process of Care Measures,N/A
50557,Heart Failure Process of Care Measures,100
341318,Surgical Care Improvement Project Process of Care Measures,98
150061,Heart Attack or Chest Pain Process of Care Measures,88
190241,Heart Failure Process of Care Measures,N/A
370172,Heart Failure Process of Care Measures,86
50324,Heart Failure Process of Care Measures,100
10033,Heart Failure Process of Care Measures,97
240064,Surgical Care Improvement Project Process of Care Measures,N/A
200039,Heart Attack or Chest Pain Process of Care Measures,88
50167,Heart Attack or Chest Pain Process of Care Measures,100
250051,Surgical Care Improvement Project Process of Care Measures,N/A
30117,Heart Attack or Chest Pain Process of Care Measures,67
190040,Heart Failure Process of Care Measures,100
281342,Heart Attack or Chest Pain Process of Care Measures,N/A
310045,Surgical Care Improvement Project Process of Care Measures,97
50740,Surgical Care Improvement Project Process of Care Measures,N/A
450235,Heart Failure Process of Care Measures,89
371314,Surgical Care Improvement Project Process of Care Measures,N/A
140032,Heart Attack or Chest Pain Process of Care Measures,N/A
450018,Surgical Care Improvement Project Process of Care Measures,97
41319,Surgical Care Improvement Project Process of Care Measures,N/A
60118,Pneumonia Process of Care Measures,100
240010,Heart Attack or Chest Pain Process of Care Measures,N/A
340120,Pneumonia Process of Care Measures,97
280003,Surgical Care Improvement Project Process of Care Measures,96
360101,Surgical Care Improvement Project Process of Care Measures,96
90004,Surgical Care Improvement Project Process of Care Measures,99
310084,Heart Attack or Chest Pain Process of Care Measures,100
501339,Heart Attack or Chest Pain Process of Care Measures,100
180040,Heart Attack or Chest Pain Process of Care Measures,100
140127,Surgical Care Improvement Project Process of Care Measures,86
190098,Heart Attack or Chest Pain Process of Care Measures,99
360161,Surgical Care Improvement Project Process of Care Measures,95
50077,Heart Attack or Chest Pain Process of Care Measures,99
390019,Pneumonia Process of Care Measures,89
260021,Surgical Care Improvement Project Process of Care Measures,65
360247,Heart Attack or Chest Pain Process of Care Measures,N/A
161355,Surgical Care Improvement Project Process of Care Measures,N/A
390096,Surgical Care Improvement Project Process of Care Measures,100
341326,Heart Attack or Chest Pain Process of Care Measures,67
360035,Heart Attack or Chest Pain Process of Care Measures,100
400011,Pneumonia Process of Care Measures,N/A
360262,Surgical Care Improvement Project Process of Care Measures,N/A
220016,Surgical Care Improvement Project Process of Care Measures,98
170104,Heart Attack or Chest Pain Process of Care Measures,N/A
500084,Surgical Care Improvement Project Process of Care Measures,99
170198,Surgical Care Improvement Project Process of Care Measures,100
290020,Heart Attack or Chest Pain Process of Care Measures,N/A
141315,Surgical Care Improvement Project Process of Care Measures,0
100231,Surgical Care Improvement Project Process of Care Measures,98
50279,Surgical Care Improvement Project Process of Care Measures,98
60011,Heart Attack or Chest Pain Process of Care Measures,N/A
170122,Surgical Care Improvement Project Process of Care Measures,97
501312,Heart Failure Process of Care Measures,100
230133,Heart Attack or Chest Pain Process of Care Measures,N/A
50624,Heart Attack or Chest Pain Process of Care Measures,99
360179,Surgical Care Improvement Project Process of Care Measures,100
230146,Heart Attack or Chest Pain Process of Care Measures,100
