Provider Number,Condition,Score
10125,Hospital Process of Care Measures,50
10126,Hospital Process of Care Measures,25
10128,Hospital Process of Care Measures,18
10129,Hospital Process of Care Measures,N/A
10130,Hospital Process of Care Measures,32
10131,Hospital Process of Care Measures,N/A
10137,Hospital Process of Care Measures,N/A
10138,Hospital Process of Care Measures,N/A
10139,Hospital Process of Care Measures,N/A
10144,Hospital Process of Care Measures,N/A
10145,Hospital Process of Care Measures,N/A
10146,Hospital Process of Care Measures,70
10148,Hospital Process of Care Measures,38
10149,Hospital Process of Care Measures,N/A
10150,Hospital Process of Care Measures,33
10152,Hospital Process of Care Measures,N/A
10157,Hospital Process of Care Measures,34
10158,Hospital Process of Care Measures,N/A
10164,Hospital Process of Care Measures,28
10167,Hospital Process of Care Measures,N/A
10168,Hospital Process of Care Measures,N/A
10169,Hospital Process of Care Measures,26
11300,Hospital Process of Care Measures,40
11302,Hospital Process of Care Measures,N/A
11303,Hospital Process of Care Measures,N/A
20001,Hospital Process of Care Measures,N/A
20006,Hospital Process of Care Measures,25
20008,Hospital Process of Care Measures,26
20012,Hospital Process of Care Measures,N/A
20017,Hospital Process of Care Measures,N/A
20024,Hospital Process of Care Measures,36
20026,Hospital Process of Care Measures,N/A
21306,Hospital Process of Care Measures,N/A
21311,Hospital Process of Care Measures,38
30001,Hospital Process of Care Measures,N/A
30002,Hospital Process of Care Measures,N/A
30006,Hospital Process of Care Measures,N/A
30007,Hospital Process of Care Measures,N/A
30010,Hospital Process of Care Measures,N/A
30011,Hospital Process of Care Measures,N/A
30012,Hospital Process of Care Measures,N/A
30013,Hospital Process of Care Measures,N/A
30014,Hospital Process of Care Measures,N/A
30016,Hospital Process of Care Measures,N/A
30022,Hospital Process of Care Measures,N/A
30023,Hospital Process of Care Measures,N/A
30024,Hospital Process of Care Measures,N/A
30030,Hospital Process of Care Measures,N/A
30033,Hospital Process of Care Measures,48
30036,Hospital Process of Care Measures,N/A
30037,Hospital Process of Care Measures,N/A
30038,Hospital Process of Care Measures,N/A
30043,Hospital Process of Care Measures,46
30055,Hospital Process of Care Measures,N/A
30061,Hospital Process of Care Measures,N/A
30062,Hospital Process of Care Measures,36
30064,Hospital Process of Care Measures,N/A
30065,Hospital Process of Care Measures,N/A
30067,Hospital Process of Care Measures,35
30068,Hospital Process of Care Measures,30
30069,Hospital Process of Care Measures,N/A
30077,Hospital Process of Care Measures,N/A
30083,Hospital Process of Care Measures,N/A
30085,Hospital Process of Care Measures,N/A
30087,Hospital Process of Care Measures,N/A
30088,Hospital Process of Care Measures,N/A
30089,Hospital Process of Care Measures,N/A
30092,Hospital Process of Care Measures,N/A
30093,Hospital Process of Care Measures,N/A
30094,Hospital Process of Care Measures,N/A
30100,Hospital Process of Care Measures,N/A
30101,Hospital Process of Care Measures,22
30102,Hospital Process of Care Measures,N/A
30103,Hospital Process of Care Measures,N/A
30105,Hospital Process of Care Measures,N/A
30107,Hospital Process of Care Measures,N/A
30108,Hospital Process of Care Measures,N/A
30110,Hospital Process of Care Measures,N/A
30111,Hospital Process of Care Measures,N/A
30112,Hospital Process of Care Measures,N/A
30114,Hospital Process of Care Measures,N/A
30115,Hospital Process of Care Measures,N/A
30117,Hospital Process of Care Measures,N/A
30118,Hospital Process of Care Measures,43
30119,Hospital Process of Care Measures,N/A
30120,Hospital Process of Care Measures,N/A
30121,Hospital Process of Care Measures,N/A
30122,Hospital Process of Care Measures,70
30123,Hospital Process of Care Measures,N/A
30126,Hospital Process of Care Measures,N/A
30128,Hospital Process of Care Measures,N/A
31300,Hospital Process of Care Measures,N/A
31304,Hospital Process of Care Measures,37
31309,Hospital Process of Care Measures,N/A
31313,Hospital Process of Care Measures,N/A
40001,Hospital Process of Care Measures,N/A
40002,Hospital Process of Care Measures,17
40004,Hospital Process of Care Measures,N/A
40007,Hospital Process of Care Measures,N/A
40010,Hospital Process of Care Measures,N/A
40011,Hospital Process of Care Measures,101
40014,Hospital Process of Care Measures,N/A
40015,Hospital Process of Care Measures,48
40016,Hospital Process of Care Measures,N/A
40017,Hospital Process of Care Measures,32
40018,Hospital Process of Care Measures,30
40019,Hospital Process of Care Measures,29
40020,Hospital Process of Care Measures,N/A
40022,Hospital Process of Care Measures,N/A
40026,Hospital Process of Care Measures,N/A
40027,Hospital Process of Care Measures,N/A
40029,Hospital Process of Care Measures,N/A
40036,Hospital Process of Care Measures,N/A
40039,Hospital Process of Care Measures,24
40041,Hospital Process of Care Measures,21
40042,Hospital Process of Care Measures,46
40047,Hospital Process of Care Measures,7
40050,Hospital Process of Care Measures,25
40051,Hospital Process of Care Measures,26
40055,Hospital Process of Care Measures,N/A
40062,Hospital Process of Care Measures,N/A
40067,Hospital Process of Care Measures,32
40069,Hospital Process of Care Measures,30
40071,Hospital Process of Care Measures,N/A
40072,Hospital Process of Care Measures,44
40074,Hospital Process of Care Measures,35
40076,Hospital Process of Care Measures,24
40078,Hospital Process of Care Measures,N/A
40080,Hospital Process of Care Measures,59
40084,Hospital Process of Care Measures,N/A
40085,Hospital Process of Care Measures,28
40088,Hospital Process of Care Measures,N/A
40091,Hospital Process of Care Measures,26
40114,Hospital Process of Care Measures,N/A
40118,Hospital Process of Care Measures,N/A
40119,Hospital Process of Care Measures,N/A
40132,Hospital Process of Care Measures,N/A
40134,Hospital Process of Care Measures,N/A
40137,Hospital Process of Care Measures,N/A
40142,Hospital Process of Care Measures,N/A
40147,Hospital Process of Care Measures,N/A
41302,Hospital Process of Care Measures,N/A
41308,Hospital Process of Care Measures,N/A
41310,Hospital Process of Care Measures,N/A
41311,Hospital Process of Care Measures,58
41312,Hospital Process of Care Measures,N/A
41313,Hospital Process of Care Measures,27
41321,Hospital Process of Care Measures,26
41328,Hospital Process of Care Measures,105
50002,Hospital Process of Care Measures,N/A
50006,Hospital Process of Care Measures,N/A
50007,Hospital Process of Care Measures,N/A
50008,Hospital Process of Care Measures,N/A
50009,Hospital Process of Care Measures,N/A
50013,Hospital Process of Care Measures,N/A
50014,Hospital Process of Care Measures,48
50016,Hospital Process of Care Measures,32
50017,Hospital Process of Care Measures,N/A
50018,Hospital Process of Care Measures,N/A
50022,Hospital Process of Care Measures,N/A
50024,Hospital Process of Care Measures,N/A
50025,Hospital Process of Care Measures,N/A
50026,Hospital Process of Care Measures,N/A
50028,Hospital Process of Care Measures,N/A
50030,Hospital Process of Care Measures,102
50036,Hospital Process of Care Measures,N/A
50038,Hospital Process of Care Measures,N/A
50039,Hospital Process of Care Measures,N/A
50040,Hospital Process of Care Measures,34
50042,Hospital Process of Care Measures,15
50043,Hospital Process of Care Measures,N/A
50045,Hospital Process of Care Measures,20
50046,Hospital Process of Care Measures,N/A
50047,Hospital Process of Care Measures,N/A
50054,Hospital Process of Care Measures,32
50055,Hospital Process of Care Measures,N/A
50056,Hospital Process of Care Measures,N/A
50057,Hospital Process of Care Measures,N/A
50058,Hospital Process of Care Measures,N/A
50060,Hospital Process of Care Measures,N/A
50063,Hospital Process of Care Measures,N/A
50067,Hospital Process of Care Measures,100
50069,Hospital Process of Care Measures,N/A
50077,Hospital Process of Care Measures,N/A
50078,Hospital Process of Care Measures,28
50079,Hospital Process of Care Measures,N/A
50082,Hospital Process of Care Measures,N/A
50084,Hospital Process of Care Measures,N/A
50089,Hospital Process of Care Measures,86
50090,Hospital Process of Care Measures,N/A
50091,Hospital Process of Care Measures,N/A
50093,Hospital Process of Care Measures,N/A
50095,Hospital Process of Care Measures,N/A
50096,Hospital Process of Care Measures,N/A
50099,Hospital Process of Care Measures,N/A
50100,Hospital Process of Care Measures,N/A
50101,Hospital Process of Care Measures,28
50102,Hospital Process of Care Measures,22
50103,Hospital Process of Care Measures,N/A
50104,Hospital Process of Care Measures,N/A
50107,Hospital Process of Care Measures,N/A
50108,Hospital Process of Care Measures,36
50110,Hospital Process of Care Measures,24
50111,Hospital Process of Care Measures,N/A
50112,Hospital Process of Care Measures,N/A
50113,Hospital Process of Care Measures,70
50115,Hospital Process of Care Measures,N/A
50116,Hospital Process of Care Measures,N/A
50118,Hospital Process of Care Measures,21
50121,Hospital Process of Care Measures,13
50122,Hospital Process of Care Measures,N/A
50124,Hospital Process of Care Measures,N/A
50125,Hospital Process of Care Measures,N/A
50126,Hospital Process of Care Measures,N/A
50127,Hospital Process of Care Measures,25
50128,Hospital Process of Care Measures,N/A
50129,Hospital Process of Care Measures,N/A
50131,Hospital Process of Care Measures,N/A
50132,Hospital Process of Care Measures,175
50133,Hospital Process of Care Measures,N/A
50135,Hospital Process of Care Measures,N/A
50136,Hospital Process of Care Measures,N/A
50145,Hospital Process of Care Measures,N/A
50149,Hospital Process of Care Measures,124
50150,Hospital Process of Care Measures,22
50152,Hospital Process of Care Measures,27
50153,Hospital Process of Care Measures,N/A
50158,Hospital Process of Care Measures,N/A
50167,Hospital Process of Care Measures,20
50168,Hospital Process of Care Measures,N/A
50169,Hospital Process of Care Measures,N/A
50174,Hospital Process of Care Measures,N/A
50179,Hospital Process of Care Measures,26
50180,Hospital Process of Care Measures,N/A
50189,Hospital Process of Care Measures,141
50191,Hospital Process of Care Measures,N/A
50192,Hospital Process of Care Measures,114
50194,Hospital Process of Care Measures,N/A
50195,Hospital Process of Care Measures,N/A
50196,Hospital Process of Care Measures,N/A
50197,Hospital Process of Care Measures,N/A
50204,Hospital Process of Care Measures,N/A
50205,Hospital Process of Care Measures,N/A
50211,Hospital Process of Care Measures,53
50219,Hospital Process of Care Measures,N/A
50222,Hospital Process of Care Measures,N/A
50224,Hospital Process of Care Measures,N/A
50225,Hospital Process of Care Measures,N/A
50226,Hospital Process of Care Measures,N/A
50228,Hospital Process of Care Measures,N/A
50230,Hospital Process of Care Measures,N/A
50231,Hospital Process of Care Measures,N/A
50232,Hospital Process of Care Measures,N/A
50234,Hospital Process of Care Measures,10
50235,Hospital Process of Care Measures,N/A
50236,Hospital Process of Care Measures,N/A
50238,Hospital Process of Care Measures,N/A
50239,Hospital Process of Care Measures,N/A
50242,Hospital Process of Care Measures,N/A
50243,Hospital Process of Care Measures,N/A
50245,Hospital Process of Care Measures,N/A
50248,Hospital Process of Care Measures,N/A
50254,Hospital Process of Care Measures,28
50257,Hospital Process of Care Measures,N/A
50261,Hospital Process of Care Measures,N/A
50262,Hospital Process of Care Measures,N/A
50264,Hospital Process of Care Measures,N/A
50272,Hospital Process of Care Measures,N/A
50276,Hospital Process of Care Measures,N/A
50277,Hospital Process of Care Measures,N/A
50278,Hospital Process of Care Measures,N/A
50279,Hospital Process of Care Measures,112
50280,Hospital Process of Care Measures,N/A
50281,Hospital Process of Care Measures,N/A
50283,Hospital Process of Care Measures,N/A
50289,Hospital Process of Care Measures,72
50290,Hospital Process of Care Measures,N/A
50291,Hospital Process of Care Measures,N/A
50292,Hospital Process of Care Measures,31
50295,Hospital Process of Care Measures,N/A
50296,Hospital Process of Care Measures,61
50298,Hospital Process of Care Measures,N/A
50300,Hospital Process of Care Measures,N/A
50301,Hospital Process of Care Measures,23
50305,Hospital Process of Care Measures,N/A
50308,Hospital Process of Care Measures,N/A
50309,Hospital Process of Care Measures,N/A
50313,Hospital Process of Care Measures,14
50315,Hospital Process of Care Measures,25
50320,Hospital Process of Care Measures,N/A
50324,Hospital Process of Care Measures,N/A
50327,Hospital Process of Care Measures,N/A
50329,Hospital Process of Care Measures,N/A
50334,Hospital Process of Care Measures,N/A
50335,Hospital Process of Care Measures,22
50336,Hospital Process of Care Measures,22
50342,Hospital Process of Care Measures,20
50348,Hospital Process of Care Measures,N/A
50349,Hospital Process of Care Measures,N/A
50350,Hospital Process of Care Measures,N/A
50351,Hospital Process of Care Measures,N/A
50352,Hospital Process of Care Measures,44
50353,Hospital Process of Care Measures,N/A
50357,Hospital Process of Care Measures,N/A
50359,Hospital Process of Care Measures,44
50360,Hospital Process of Care Measures,N/A
50367,Hospital Process of Care Measures,21
50373,Hospital Process of Care Measures,N/A
50376,Hospital Process of Care Measures,N/A
50378,Hospital Process of Care Measures,N/A
50380,Hospital Process of Care Measures,N/A
50382,Hospital Process of Care Measures,N/A
50385,Hospital Process of Care Measures,N/A
50390,Hospital Process of Care Measures,29
50393,Hospital Process of Care Measures,N/A
50394,Hospital Process of Care Measures,N/A
50396,Hospital Process of Care Measures,N/A
50397,Hospital Process of Care Measures,N/A
50407,Hospital Process of Care Measures,N/A
50414,Hospital Process of Care Measures,32
50417,Hospital Process of Care Measures,27
50423,Hospital Process of Care Measures,N/A
50424,Hospital Process of Care Measures,N/A
50426,Hospital Process of Care Measures,N/A
50434,Hospital Process of Care Measures,N/A
50435,Hospital Process of Care Measures,42
50438,Hospital Process of Care Measures,N/A
50441,Hospital Process of Care Measures,N/A
50444,Hospital Process of Care Measures,30
50448,Hospital Process of Care Measures,66
50454,Hospital Process of Care Measures,N/A
50455,Hospital Process of Care Measures,N/A
50457,Hospital Process of Care Measures,N/A
50464,Hospital Process of Care Measures,N/A
50468,Hospital Process of Care Measures,28
50471,Hospital Process of Care Measures,N/A
50481,Hospital Process of Care Measures,N/A
50485,Hospital Process of Care Measures,N/A
50488,Hospital Process of Care Measures,N/A
50492,Hospital Process of Care Measures,N/A
50496,Hospital Process of Care Measures,N/A
50498,Hospital Process of Care Measures,20
50502,Hospital Process of Care Measures,N/A
50503,Hospital Process of Care Measures,N/A
50506,Hospital Process of Care Measures,N/A
50516,Hospital Process of Care Measures,N/A
50517,Hospital Process of Care Measures,N/A
50523,Hospital Process of Care Measures,N/A
50526,Hospital Process of Care Measures,N/A
50528,Hospital Process of Care Measures,63
50531,Hospital Process of Care Measures,N/A
50534,Hospital Process of Care Measures,N/A
50537,Hospital Process of Care Measures,27
50543,Hospital Process of Care Measures,N/A
50547,Hospital Process of Care Measures,N/A
50549,Hospital Process of Care Measures,N/A
50551,Hospital Process of Care Measures,N/A
50552,Hospital Process of Care Measures,N/A
50557,Hospital Process of Care Measures,N/A
50567,Hospital Process of Care Measures,N/A
50568,Hospital Process of Care Measures,N/A
50570,Hospital Process of Care Measures,N/A
50573,Hospital Process of Care Measures,N/A
50575,Hospital Process of Care Measures,N/A
50580,Hospital Process of Care Measures,N/A
50581,Hospital Process of Care Measures,N/A
50586,Hospital Process of Care Measures,N/A
50588,Hospital Process of Care Measures,N/A
50589,Hospital Process of Care Measures,25
50590,Hospital Process of Care Measures,30
50597,Hospital Process of Care Measures,N/A
50599,Hospital Process of Care Measures,N/A
50603,Hospital Process of Care Measures,N/A
50608,Hospital Process of Care Measures,42
50616,Hospital Process of Care Measures,N/A
50618,Hospital Process of Care Measures,32
50624,Hospital Process of Care Measures,N/A
50625,Hospital Process of Care Measures,N/A
50633,Hospital Process of Care Measures,N/A
50636,Hospital Process of Care Measures,38
50641,Hospital Process of Care Measures,N/A
50644,Hospital Process of Care Measures,N/A
50663,Hospital Process of Care Measures,N/A
50668,Hospital Process of Care Measures,N/A
50678,Hospital Process of Care Measures,N/A
50680,Hospital Process of Care Measures,12
50682,Hospital Process of Care Measures,N/A
50684,Hospital Process of Care Measures,24
50688,Hospital Process of Care Measures,42
50689,Hospital Process of Care Measures,N/A
50696,Hospital Process of Care Measures,N/A
50697,Hospital Process of Care Measures,N/A
50701,Hospital Process of Care Measures,39
50704,Hospital Process of Care Measures,N/A
50708,Hospital Process of Care Measures,N/A
50709,Hospital Process of Care Measures,N/A
50714,Hospital Process of Care Measures,N/A
50717,Hospital Process of Care Measures,N/A
50724,Hospital Process of Care Measures,N/A
50726,Hospital Process of Care Measures,N/A
50727,Hospital Process of Care Measures,N/A
50732,Hospital Process of Care Measures,N/A
50735,Hospital Process of Care Measures,25
50736,Hospital Process of Care Measures,N/A
50737,Hospital Process of Care Measures,N/A
50738,Hospital Process of Care Measures,N/A
50739,Hospital Process of Care Measures,N/A
50740,Hospital Process of Care Measures,N/A
50742,Hospital Process of Care Measures,N/A
50744,Hospital Process of Care Measures,N/A
50745,Hospital Process of Care Measures,N/A
50746,Hospital Process of Care Measures,N/A
50747,Hospital Process of Care Measures,N/A
50749,Hospital Process of Care Measures,N/A
50751,Hospital Process of Care Measures,N/A
50752,Hospital Process of Care Measures,N/A
50754,Hospital Process of Care Measures,N/A
50755,Hospital Process of Care Measures,N/A
50757,Hospital Process of Care Measures,N/A
50758,Hospital Process of Care Measures,N/A
50761,Hospital Process of Care Measures,N/A
50763,Hospital Process of Care Measures,N/A
50764,Hospital Process of Care Measures,N/A
50766,Hospital Process of Care Measures,N/A
51302,Hospital Process of Care Measures,N/A
51315,Hospital Process of Care Measures,87
51319,Hospital Process of Care Measures,N/A
51320,Hospital Process of Care Measures,20
51321,Hospital Process of Care Measures,N/A
51327,Hospital Process of Care Measures,N/A
51329,Hospital Process of Care Measures,20
60001,Hospital Process of Care Measures,N/A
60003,Hospital Process of Care Measures,N/A
60004,Hospital Process of Care Measures,N/A
60006,Hospital Process of Care Measures,36
60008,Hospital Process of Care Measures,50
60009,Hospital Process of Care Measures,N/A
60010,Hospital Process of Care Measures,N/A
60011,Hospital Process of Care Measures,N/A
60012,Hospital Process of Care Measures,N/A
60013,Hospital Process of Care Measures,N/A
60014,Hospital Process of Care Measures,N/A
60015,Hospital Process of Care Measures,N/A
60016,Hospital Process of Care Measures,42
60020,Hospital Process of Care Measures,N/A
60022,Hospital Process of Care Measures,N/A
60023,Hospital Process of Care Measures,N/A
60024,Hospital Process of Care Measures,N/A
60027,Hospital Process of Care Measures,N/A
60028,Hospital Process of Care Measures,N/A
60030,Hospital Process of Care Measures,N/A
60031,Hospital Process of Care Measures,N/A
60032,Hospital Process of Care Measures,N/A
60034,Hospital Process of Care Measures,N/A
60036,Hospital Process of Care Measures,20
60043,Hospital Process of Care Measures,N/A
60044,Hospital Process of Care Measures,14
60049,Hospital Process of Care Measures,19
60054,Hospital Process of Care Measures,N/A
60064,Hospital Process of Care Measures,N/A
60065,Hospital Process of Care Measures,N/A
60071,Hospital Process of Care Measures,31
60075,Hospital Process of Care Measures,37
60076,Hospital Process of Care Measures,37
60096,Hospital Process of Care Measures,N/A
60100,Hospital Process of Care Measures,N/A
60103,Hospital Process of Care Measures,N/A
60104,Hospital Process of Care Measures,42
60107,Hospital Process of Care Measures,N/A
60112,Hospital Process of Care Measures,N/A
60113,Hospital Process of Care Measures,N/A
60114,Hospital Process of Care Measures,N/A
60116,Hospital Process of Care Measures,N/A
60117,Hospital Process of Care Measures,N/A
60118,Hospital Process of Care Measures,27
60119,Hospital Process of Care Measures,N/A
61301,Hospital Process of Care Measures,N/A
61303,Hospital Process of Care Measures,25
61314,Hospital Process of Care Measures,N/A
61315,Hospital Process of Care Measures,95
61320,Hospital Process of Care Measures,80
70001,Hospital Process of Care Measures,N/A
70002,Hospital Process of Care Measures,N/A
70003,Hospital Process of Care Measures,N/A
70004,Hospital Process of Care Measures,50
70005,Hospital Process of Care Measures,N/A
70006,Hospital Process of Care Measures,N/A
70007,Hospital Process of Care Measures,N/A
70008,Hospital Process of Care Measures,22
70010,Hospital Process of Care Measures,N/A
70011,Hospital Process of Care Measures,35
70012,Hospital Process of Care Measures,N/A
70015,Hospital Process of Care Measures,N/A
70016,Hospital Process of Care Measures,N/A
70017,Hospital Process of Care Measures,31
70018,Hospital Process of Care Measures,N/A
70019,Hospital Process of Care Measures,N/A
70020,Hospital Process of Care Measures,40
70021,Hospital Process of Care Measures,31
70022,Hospital Process of Care Measures,N/A
70024,Hospital Process of Care Measures,35
70025,Hospital Process of Care Measures,N/A
70027,Hospital Process of Care Measures,34
70028,Hospital Process of Care Measures,N/A
70029,Hospital Process of Care Measures,N/A
70031,Hospital Process of Care Measures,N/A
70033,Hospital Process of Care Measures,N/A
70034,Hospital Process of Care Measures,N/A
70035,Hospital Process of Care Measures,N/A
70036,Hospital Process of Care Measures,N/A
70039,Hospital Process of Care Measures,N/A
70040,Hospital Process of Care Measures,N/A
80001,Hospital Process of Care Measures,N/A
80003,Hospital Process of Care Measures,N/A
80004,Hospital Process of Care Measures,N/A
80006,Hospital Process of Care Measures,N/A
80007,Hospital Process of Care Measures,N/A
90001,Hospital Process of Care Measures,N/A
90003,Hospital Process of Care Measures,N/A
90004,Hospital Process of Care Measures,N/A
90005,Hospital Process of Care Measures,N/A
90006,Hospital Process of Care Measures,N/A
90008,Hospital Process of Care Measures,N/A
90011,Hospital Process of Care Measures,N/A
100001,Hospital Process of Care Measures,N/A
100002,Hospital Process of Care Measures,N/A
100006,Hospital Process of Care Measures,N/A
100007,Hospital Process of Care Measures,N/A
100008,Hospital Process of Care Measures,N/A
100009,Hospital Process of Care Measures,N/A
100012,Hospital Process of Care Measures,N/A
100014,Hospital Process of Care Measures,N/A
100017,Hospital Process of Care Measures,N/A
100018,Hospital Process of Care Measures,N/A
100019,Hospital Process of Care Measures,N/A
100022,Hospital Process of Care Measures,N/A
100023,Hospital Process of Care Measures,N/A
100025,Hospital Process of Care Measures,N/A
100026,Hospital Process of Care Measures,N/A
100028,Hospital Process of Care Measures,N/A
100029,Hospital Process of Care Measures,38
100030,Hospital Process of Care Measures,N/A
100032,Hospital Process of Care Measures,N/A
100034,Hospital Process of Care Measures,N/A
100035,Hospital Process of Care Measures,N/A
100038,Hospital Process of Care Measures,N/A
100039,Hospital Process of Care Measures,N/A
100040,Hospital Process of Care Measures,N/A
100043,Hospital Process of Care Measures,N/A
100044,Hospital Process of Care Measures,N/A
100045,Hospital Process of Care Measures,N/A
100046,Hospital Process of Care Measures,N/A
100047,Hospital Process of Care Measures,N/A
100048,Hospital Process of Care Measures,N/A
100049,Hospital Process of Care Measures,84
100050,Hospital Process of Care Measures,N/A
100051,Hospital Process of Care Measures,N/A
100052,Hospital Process of Care Measures,N/A
100053,Hospital Process of Care Measures,N/A
100054,Hospital Process of Care Measures,N/A
100055,Hospital Process of Care Measures,N/A
100057,Hospital Process of Care Measures,N/A
100061,Hospital Process of Care Measures,N/A
100062,Hospital Process of Care Measures,N/A
100063,Hospital Process of Care Measures,N/A
100067,Hospital Process of Care Measures,N/A
100068,Hospital Process of Care Measures,N/A
100069,Hospital Process of Care Measures,N/A
100070,Hospital Process of Care Measures,N/A
100071,Hospital Process of Care Measures,42
100072,Hospital Process of Care Measures,45
100073,Hospital Process of Care Measures,N/A
100075,Hospital Process of Care Measures,N/A
100077,Hospital Process of Care Measures,N/A
100080,Hospital Process of Care Measures,N/A
100081,Hospital Process of Care Measures,N/A
100084,Hospital Process of Care Measures,N/A
100086,Hospital Process of Care Measures,N/A
100087,Hospital Process of Care Measures,N/A
100088,Hospital Process of Care Measures,N/A
100090,Hospital Process of Care Measures,N/A
100092,Hospital Process of Care Measures,N/A
100093,Hospital Process of Care Measures,N/A
100099,Hospital Process of Care Measures,N/A
100102,Hospital Process of Care Measures,30
100105,Hospital Process of Care Measures,N/A
100106,Hospital Process of Care Measures,110
100107,Hospital Process of Care Measures,N/A
100109,Hospital Process of Care Measures,N/A
100110,Hospital Process of Care Measures,N/A
100113,Hospital Process of Care Measures,N/A
100117,Hospital Process of Care Measures,42
100118,Hospital Process of Care Measures,N/A
100121,Hospital Process of Care Measures,N/A
100122,Hospital Process of Care Measures,N/A
100124,Hospital Process of Care Measures,N/A
100125,Hospital Process of Care Measures,31
100126,Hospital Process of Care Measures,N/A
100127,Hospital Process of Care Measures,N/A
100128,Hospital Process of Care Measures,N/A
100130,Hospital Process of Care Measures,29
100131,Hospital Process of Care Measures,N/A
100132,Hospital Process of Care Measures,N/A
100135,Hospital Process of Care Measures,N/A
100137,Hospital Process of Care Measures,N/A
100139,Hospital Process of Care Measures,N/A
100140,Hospital Process of Care Measures,N/A
100142,Hospital Process of Care Measures,36
100150,Hospital Process of Care Measures,15
100151,Hospital Process of Care Measures,N/A
100154,Hospital Process of Care Measures,N/A
100156,Hospital Process of Care Measures,N/A
100157,Hospital Process of Care Measures,N/A
100161,Hospital Process of Care Measures,N/A
100166,Hospital Process of Care Measures,N/A
100167,Hospital Process of Care Measures,N/A
100168,Hospital Process of Care Measures,N/A
100173,Hospital Process of Care Measures,N/A
100175,Hospital Process of Care Measures,40
100176,Hospital Process of Care Measures,N/A
100177,Hospital Process of Care Measures,N/A
100179,Hospital Process of Care Measures,N/A
100180,Hospital Process of Care Measures,N/A
100181,Hospital Process of Care Measures,N/A
100183,Hospital Process of Care Measures,27
100187,Hospital Process of Care Measures,N/A
100189,Hospital Process of Care Measures,N/A
100191,Hospital Process of Care Measures,N/A
100200,Hospital Process of Care Measures,N/A
100204,Hospital Process of Care Measures,N/A
100206,Hospital Process of Care Measures,N/A
100209,Hospital Process of Care Measures,N/A
100211,Hospital Process of Care Measures,N/A
100212,Hospital Process of Care Measures,N/A
100213,Hospital Process of Care Measures,N/A
100217,Hospital Process of Care Measures,22
100220,Hospital Process of Care Measures,N/A
100223,Hospital Process of Care Measures,N/A
100224,Hospital Process of Care Measures,N/A
100226,Hospital Process of Care Measures,N/A
100228,Hospital Process of Care Measures,N/A
100230,Hospital Process of Care Measures,N/A
100231,Hospital Process of Care Measures,N/A
