Provider Number,Condition,Score
50095,Heart Attack or Chest Pain Process of Care Measures,N/A
521331,Pneumonia Process of Care Measures,100
450697,Heart Attack or Chest Pain Process of Care Measures,N/A
260065,Heart Failure Process of Care Measures,93
330107,Pneumonia Process of Care Measures,70
490109,Pneumonia Process of Care Measures,100
190167,Surgical Care Improvement Project Process of Care Measures,N/A
50016,Heart Attack or Chest Pain Process of Care Measures,34
130002,Heart Failure Process of Care Measures,100
360134,Surgical Care Improvement Project Process of Care Measures,92
42029F,Surgical Care Improvement Project Process of Care Measures,100
521350,Heart Attack or Chest Pain Process of Care Measures,N/A
50006,Heart Failure Process of Care Measures,100
450634,Heart Failure Process of Care Measures,100
160089,Heart Failure Process of Care Measures,100
100026,Pneumonia Process of Care Measures,94
140301,Pneumonia Process of Care Measures,98
31001F,Pneumonia Process of Care Measures,95
110111,Surgical Care Improvement Project Process of Care Measures,63
490046,Surgical Care Improvement Project Process of Care Measures,97
360116,Pneumonia Process of Care Measures,98
280065,Heart Failure Process of Care Measures,100
240080,Surgical Care Improvement Project Process of Care Measures,98
511313,Heart Attack or Chest Pain Process of Care Measures,N/A
10167,Heart Attack or Chest Pain Process of Care Measures,100
251320,Heart Attack or Chest Pain Process of Care Measures,N/A
120022,Pneumonia Process of Care Measures,90
150012,Heart Attack or Chest Pain Process of Care Measures,100
49006F,Surgical Care Improvement Project Process of Care Measures,N/A
420038,Surgical Care Improvement Project Process of Care Measures,86
390104,Surgical Care Improvement Project Process of Care Measures,69
280009,Heart Attack or Chest Pain Process of Care Measures,71
450011,Heart Attack or Chest Pain Process of Care Measures,98
670031,Surgical Care Improvement Project Process of Care Measures,N/A
220101,Surgical Care Improvement Project Process of Care Measures,97
400009,Heart Attack or Chest Pain Process of Care Measures,93
190005,Heart Failure Process of Care Measures,100
271330,Pneumonia Process of Care Measures,100
450702,Surgical Care Improvement Project Process of Care Measures,99
50636,Heart Attack or Chest Pain Process of Care Measures,56
330055,Pneumonia Process of Care Measures,90
390223,Pneumonia Process of Care Measures,100
14004F,Pneumonia Process of Care Measures,100
161381,Surgical Care Improvement Project Process of Care Measures,N/A
180049,Surgical Care Improvement Project Process of Care Measures,98
260178,Surgical Care Improvement Project Process of Care Measures,96
220119,Heart Attack or Chest Pain Process of Care Measures,100
70035,Heart Attack or Chest Pain Process of Care Measures,98
60117,Pneumonia Process of Care Measures,N/A
150045,Pneumonia Process of Care Measures,100
490066,Heart Attack or Chest Pain Process of Care Measures,91
171319,Surgical Care Improvement Project Process of Care Measures,N/A
240006,Surgical Care Improvement Project Process of Care Measures,99
151325,Heart Attack or Chest Pain Process of Care Measures,N/A
450683,Heart Attack or Chest Pain Process of Care Measures,75
290006,Pneumonia Process of Care Measures,95
490114,Surgical Care Improvement Project Process of Care Measures,82
450051,Surgical Care Improvement Project Process of Care Measures,97
451374,Surgical Care Improvement Project Process of Care Measures,0
241343,Heart Attack or Chest Pain Process of Care Measures,100
260062,Heart Attack or Chest Pain Process of Care Measures,6
351334,Heart Attack or Chest Pain Process of Care Measures,100
511316,Heart Failure Process of Care Measures,77
110101,Pneumonia Process of Care Measures,80
100168,Pneumonia Process of Care Measures,97
140059,Pneumonia Process of Care Measures,96
420089,Heart Attack or Chest Pain Process of Care Measures,100
450610,Pneumonia Process of Care Measures,99
100290,Pneumonia Process of Care Measures,96
171337,Surgical Care Improvement Project Process of Care Measures,N/A
390139,Surgical Care Improvement Project Process of Care Measures,100
10044,Heart Attack or Chest Pain Process of Care Measures,60
100187,Heart Attack or Chest Pain Process of Care Measures,100
350063,Pneumonia Process of Care Measures,86
281332,Heart Attack or Chest Pain Process of Care Measures,N/A
50502,Surgical Care Improvement Project Process of Care Measures,95
51328,Heart Attack or Chest Pain Process of Care Measures,N/A
370049,Surgical Care Improvement Project Process of Care Measures,88
190144,Heart Attack or Chest Pain Process of Care Measures,100
180079,Pneumonia Process of Care Measures,95
50278,Surgical Care Improvement Project Process of Care Measures,98
51323,Heart Attack or Chest Pain Process of Care Measures,N/A
490024,Surgical Care Improvement Project Process of Care Measures,96
450270,Surgical Care Improvement Project Process of Care Measures,N/A
450085,Heart Attack or Chest Pain Process of Care Measures,N/A
230212,Heart Attack or Chest Pain Process of Care Measures,N/A
500025,Heart Attack or Chest Pain Process of Care Measures,77
450620,Surgical Care Improvement Project Process of Care Measures,N/A
460009,Heart Attack or Chest Pain Process of Care Measures,95
31314,Surgical Care Improvement Project Process of Care Measures,N/A
310115,Heart Failure Process of Care Measures,100
360058,Pneumonia Process of Care Measures,100
160079,Heart Attack or Chest Pain Process of Care Measures,2
260081,Heart Attack or Chest Pain Process of Care Measures,N/A
440059,Heart Attack or Chest Pain Process of Care Measures,N/A
450824,Surgical Care Improvement Project Process of Care Measures,96
10007,Surgical Care Improvement Project Process of Care Measures,84
240196,Surgical Care Improvement Project Process of Care Measures,N/A
140184,Surgical Care Improvement Project Process of Care Measures,96
10131,Surgical Care Improvement Project Process of Care Measures,98
330085,Heart Attack or Chest Pain Process of Care Measures,N/A
330003,Heart Attack or Chest Pain Process of Care Measures,100
510018,Pneumonia Process of Care Measures,97
281309,Pneumonia Process of Care Measures,100
50261,Pneumonia Process of Care Measures,90
50191,Pneumonia Process of Care Measures,100
61301,Heart Attack or Chest Pain Process of Care Measures,100
100076,Pneumonia Process of Care Measures,73
440012,Heart Failure Process of Care Measures,97
271341,Pneumonia Process of Care Measures,100
250042,Surgical Care Improvement Project Process of Care Measures,96
450369,Surgical Care Improvement Project Process of Care Measures,100
60011,Heart Attack or Chest Pain Process of Care Measures,N/A
160117,Heart Attack or Chest Pain Process of Care Measures,N/A
51315,Heart Attack or Chest Pain Process of Care Measures,67
220105,Pneumonia Process of Care Measures,88
60054,Pneumonia Process of Care Measures,90
60013,Pneumonia Process of Care Measures,95
140095,Pneumonia Process of Care Measures,99
241378,Surgical Care Improvement Project Process of Care Measures,98
250059,Heart Attack or Chest Pain Process of Care Measures,33
41005F,Surgical Care Improvement Project Process of Care Measures,92
360037,Heart Attack or Chest Pain Process of Care Measures,90
501338,Surgical Care Improvement Project Process of Care Measures,N/A
360032,Surgical Care Improvement Project Process of Care Measures,97
160082,Surgical Care Improvement Project Process of Care Measures,96
50308,Heart Attack or Chest Pain Process of Care Measures,99
490113,Heart Attack or Chest Pain Process of Care Measures,99
50204,Heart Attack or Chest Pain Process of Care Measures,N/A
440162,Heart Attack or Chest Pain Process of Care Measures,N/A
220084,Heart Attack or Chest Pain Process of Care Measures,80
50261,Heart Failure Process of Care Measures,93
141324,Pneumonia Process of Care Measures,90
450147,Surgical Care Improvement Project Process of Care Measures,98
351307,Heart Failure Process of Care Measures,33
161363,Heart Attack or Chest Pain Process of Care Measures,N/A
41309,Heart Attack or Chest Pain Process of Care Measures,N/A
490067,Pneumonia Process of Care Measures,94
360197,Pneumonia Process of Care Measures,97
45060F,Surgical Care Improvement Project Process of Care Measures,99
60071,Heart Attack or Chest Pain Process of Care Measures,86
110078,Heart Attack or Chest Pain Process of Care Measures,96
240211,Heart Attack or Chest Pain Process of Care Measures,N/A
360151,Heart Failure Process of Care Measures,100
450604,Surgical Care Improvement Project Process of Care Measures,84
360089,Heart Attack or Chest Pain Process of Care Measures,91
241313,Pneumonia Process of Care Measures,40
150172,Heart Attack or Chest Pain Process of Care Measures,N/A
670053,Heart Attack or Chest Pain Process of Care Measures,90
450224,Surgical Care Improvement Project Process of Care Measures,100
50761,Surgical Care Improvement Project Process of Care Measures,99
60010,Pneumonia Process of Care Measures,97
141303,Surgical Care Improvement Project Process of Care Measures,N/A
110001,Surgical Care Improvement Project Process of Care Measures,93
170074,Surgical Care Improvement Project Process of Care Measures,92
181311,Heart Attack or Chest Pain Process of Care Measures,N/A
271338,Pneumonia Process of Care Measures,80
80003,Heart Attack or Chest Pain Process of Care Measures,N/A
230089,Heart Attack or Chest Pain Process of Care Measures,100
430048,Heart Failure Process of Care Measures,62
140095,Heart Attack or Chest Pain Process of Care Measures,13
450779,Surgical Care Improvement Project Process of Care Measures,99
100217,Heart Attack or Chest Pain Process of Care Measures,100
330090,Surgical Care Improvement Project Process of Care Measures,100
271342,Surgical Care Improvement Project Process of Care Measures,N/A
451331,Pneumonia Process of Care Measures,60
34036F,Surgical Care Improvement Project Process of Care Measures,97
310108,Surgical Care Improvement Project Process of Care Measures,92
10110,Heart Attack or Chest Pain Process of Care Measures,N/A
450848,Surgical Care Improvement Project Process of Care Measures,100
101310,Surgical Care Improvement Project Process of Care Measures,100
430027,Children's Asthma Process of Care Measures,95
361303,Pneumonia Process of Care Measures,80
150161,Heart Attack or Chest Pain Process of Care Measures,N/A
130065,Heart Attack or Chest Pain Process of Care Measures,N/A
140118,Pneumonia Process of Care Measures,91
520027,Heart Attack or Chest Pain Process of Care Measures,97
10150,Heart Attack or Chest Pain Process of Care Measures,8
180101,Heart Attack or Chest Pain Process of Care Measures,N/A
371321,Heart Attack or Chest Pain Process of Care Measures,N/A
290007,Heart Attack or Chest Pain Process of Care Measures,99
100127,Pneumonia Process of Care Measures,96
310075,Heart Attack or Chest Pain Process of Care Measures,4
190007,Surgical Care Improvement Project Process of Care Measures,100
521347,Heart Attack or Chest Pain Process of Care Measures,N/A
110105,Heart Failure Process of Care Measures,100
351332,Heart Attack or Chest Pain Process of Care Measures,100
260095,Pneumonia Process of Care Measures,98
27003F,Surgical Care Improvement Project Process of Care Measures,100
420005,Heart Attack or Chest Pain Process of Care Measures,6
510022,Heart Failure Process of Care Measures,67
500033,Heart Failure Process of Care Measures,100
500064,Pneumonia Process of Care Measures,90
40142,Heart Attack or Chest Pain Process of Care Measures,N/A
50717,Heart Failure Process of Care Measures,83
260001,Surgical Care Improvement Project Process of Care Measures,99
10006,Pneumonia Process of Care Measures,99
100140,Surgical Care Improvement Project Process of Care Measures,89
200063,Heart Attack or Chest Pain Process of Care Measures,N/A
450040,Heart Failure Process of Care Measures,100
330211,Pneumonia Process of Care Measures,100
320074,Surgical Care Improvement Project Process of Care Measures,N/A
440015,Surgical Care Improvement Project Process of Care Measures,92
331312,Pneumonia Process of Care Measures,91
420089,Heart Attack or Chest Pain Process of Care Measures,45
37014F,Heart Attack or Chest Pain Process of Care Measures,98
230030,Pneumonia Process of Care Measures,98
330276,Surgical Care Improvement Project Process of Care Measures,90
161333,Heart Attack or Chest Pain Process of Care Measures,N/A
390313,Heart Attack or Chest Pain Process of Care Measures,N/A
241309,Surgical Care Improvement Project Process of Care Measures,N/A
190140,Surgical Care Improvement Project Process of Care Measures,N/A
360092,Heart Attack or Chest Pain Process of Care Measures,100
50766,Surgical Care Improvement Project Process of Care Measures,91
41312,Heart Attack or Chest Pain Process of Care Measures,N/A
261307,Heart Failure Process of Care Measures,26
360148,Surgical Care Improvement Project Process of Care Measures,93
390268,Surgical Care Improvement Project Process of Care Measures,94
310001,Surgical Care Improvement Project Process of Care Measures,95
171374,Surgical Care Improvement Project Process of Care Measures,N/A
330030,Surgical Care Improvement Project Process of Care Measures,97
240010,Surgical Care Improvement Project Process of Care Measures,95
100068,Heart Attack or Chest Pain Process of Care Measures,99
141348,Pneumonia Process of Care Measures,93
161346,Pneumonia Process of Care Measures,100
150061,Pneumonia Process of Care Measures,75
360234,Surgical Care Improvement Project Process of Care Measures,95
180029,Heart Attack or Chest Pain Process of Care Measures,89
430060,Heart Attack or Chest Pain Process of Care Measures,N/A
230222,Heart Failure Process of Care Measures,96
370026,Pneumonia Process of Care Measures,99
260032,Pneumonia Process of Care Measures,91
400003,Surgical Care Improvement Project Process of Care Measures,88
50414,Heart Attack or Chest Pain Process of Care Measures,N/A
281304,Pneumonia Process of Care Measures,85
450573,Heart Failure Process of Care Measures,78
151310,Heart Attack or Chest Pain Process of Care Measures,N/A
510029,Pneumonia Process of Care Measures,98
190102,Surgical Care Improvement Project Process of Care Measures,87
180138,Heart Attack or Chest Pain Process of Care Measures,5
450855,Heart Attack or Chest Pain Process of Care Measures,100
390001,Surgical Care Improvement Project Process of Care Measures,98
290019,Heart Attack or Chest Pain Process of Care Measures,97
420053,Surgical Care Improvement Project Process of Care Measures,N/A
40003F,Heart Attack or Chest Pain Process of Care Measures,100
450438,Pneumonia Process of Care Measures,82
420016,Heart Attack or Chest Pain Process of Care Measures,N/A
140115,Heart Attack or Chest Pain Process of Care Measures,95
33016F,Heart Failure Process of Care Measures,99
50359,Heart Failure Process of Care Measures,100
250002,Heart Attack or Chest Pain Process of Care Measures,N/A
52004F,Heart Failure Process of Care Measures,96
390225,Heart Attack or Chest Pain Process of Care Measures,N/A
271313,Surgical Care Improvement Project Process of Care Measures,N/A
50590,Surgical Care Improvement Project Process of Care Measures,92
381321,Heart Attack or Chest Pain Process of Care Measures,N/A
230054,Heart Attack or Chest Pain Process of Care Measures,63
230054,Heart Failure Process of Care Measures,100
160112,Surgical Care Improvement Project Process of Care Measures,100
450489,Heart Attack or Chest Pain Process of Care Measures,N/A
281313,Heart Attack or Chest Pain Process of Care Measures,N/A
51005F,Heart Attack or Chest Pain Process of Care Measures,N/A
210015,Heart Failure Process of Care Measures,100
40142,Pneumonia Process of Care Measures,67
241328,Surgical Care Improvement Project Process of Care Measures,N/A
33012F,Surgical Care Improvement Project Process of Care Measures,63
50348,Surgical Care Improvement Project Process of Care Measures,96
100092,Heart Attack or Chest Pain Process of Care Measures,100
330304,Heart Attack or Chest Pain Process of Care Measures,0
440033,Heart Failure Process of Care Measures,98
50096,Pneumonia Process of Care Measures,100
160058,Pneumonia Process of Care Measures,92
360348,Surgical Care Improvement Project Process of Care Measures,98
450709,Heart Attack or Chest Pain Process of Care Measures,100
161358,Pneumonia Process of Care Measures,82
100073,Surgical Care Improvement Project Process of Care Measures,98
420102,Heart Attack or Chest Pain Process of Care Measures,N/A
50189,Surgical Care Improvement Project Process of Care Measures,100
340004,Heart Attack or Chest Pain Process of Care Measures,98
260004,Heart Attack or Chest Pain Process of Care Measures,100
15003F,Pneumonia Process of Care Measures,99
100255,Surgical Care Improvement Project Process of Care Measures,87
161317,Heart Attack or Chest Pain Process of Care Measures,N/A
360356,Heart Failure Process of Care Measures,0
20012,Children's Asthma Process of Care Measures,62
360354,Pneumonia Process of Care Measures,86
241368,Heart Attack or Chest Pain Process of Care Measures,N/A
451364,Surgical Care Improvement Project Process of Care Measures,N/A
451305,Surgical Care Improvement Project Process of Care Measures,N/A
140083,Heart Attack or Chest Pain Process of Care Measures,N/A
50580,Heart Attack or Chest Pain Process of Care Measures,100
140068,Heart Attack or Chest Pain Process of Care Measures,56
40114,Pneumonia Process of Care Measures,99
170104,Surgical Care Improvement Project Process of Care Measures,79
210027,Heart Attack or Chest Pain Process of Care Measures,N/A
50262,Heart Attack or Chest Pain Process of Care Measures,100
50028,Heart Failure Process of Care Measures,71
341311,Pneumonia Process of Care Measures,94
241317,Pneumonia Process of Care Measures,100
390179,Heart Attack or Chest Pain Process of Care Measures,99
450054,Heart Attack or Chest Pain Process of Care Measures,99
100213,Surgical Care Improvement Project Process of Care Measures,98
40071,Surgical Care Improvement Project Process of Care Measures,97
70020,Heart Attack or Chest Pain Process of Care Measures,94
130003,Surgical Care Improvement Project Process of Care Measures,84
371331,Surgical Care Improvement Project Process of Care Measures,92
360072,Heart Attack or Chest Pain Process of Care Measures,100
41005F,Heart Failure Process of Care Measures,96
450662,Surgical Care Improvement Project Process of Care Measures,91
181306,Heart Attack or Chest Pain Process of Care Measures,88
351330,Pneumonia Process of Care Measures,90
390145,Heart Attack or Chest Pain Process of Care Measures,99
45063F,Heart Failure Process of Care Measures,89
360112,Pneumonia Process of Care Measures,100
361310,Surgical Care Improvement Project Process of Care Measures,100
490063,Surgical Care Improvement Project Process of Care Measures,93
381306,Surgical Care Improvement Project Process of Care Measures,N/A
170150,Pneumonia Process of Care Measures,79
310074,Heart Failure Process of Care Measures,99
351318,Heart Failure Process of Care Measures,100
10137,Heart Failure Process of Care Measures,97
491303,Heart Failure Process of Care Measures,N/A
490113,Pneumonia Process of Care Measures,80
160064,Surgical Care Improvement Project Process of Care Measures,99
300001,Heart Attack or Chest Pain Process of Care Measures,4
230038,Surgical Care Improvement Project Process of Care Measures,96
330003,Heart Attack or Chest Pain Process of Care Measures,N/A
400098,Heart Attack or Chest Pain Process of Care Measures,N/A
51320,Surgical Care Improvement Project Process of Care Measures,N/A
230241,Heart Attack or Chest Pain Process of Care Measures,100
241309,Heart Attack or Chest Pain Process of Care Measures,10
60008,Heart Attack or Chest Pain Process of Care Measures,100
140184,Heart Failure Process of Care Measures,99
450422,Heart Failure Process of Care Measures,N/A
170166,Heart Failure Process of Care Measures,100
160122,Pneumonia Process of Care Measures,100
190175,Surgical Care Improvement Project Process of Care Measures,96
140242,Heart Failure Process of Care Measures,100
230216,Surgical Care Improvement Project Process of Care Measures,97
33009F,Surgical Care Improvement Project Process of Care Measures,100
150064,Heart Attack or Chest Pain Process of Care Measures,100
171357,Surgical Care Improvement Project Process of Care Measures,N/A
390049,Surgical Care Improvement Project Process of Care Measures,95
230301,Surgical Care Improvement Project Process of Care Measures,80
110089,Heart Attack or Chest Pain Process of Care Measures,82
210001,Surgical Care Improvement Project Process of Care Measures,98
260052,Pneumonia Process of Care Measures,93
05030F,Pneumonia Process of Care Measures,94
330057,Pneumonia Process of Care Measures,89
520116,Pneumonia Process of Care Measures,94
140122,Surgical Care Improvement Project Process of Care Measures,95
390026,Surgical Care Improvement Project Process of Care Measures,98
10104,Surgical Care Improvement Project Process of Care Measures,94
50496,Surgical Care Improvement Project Process of Care Measures,95
100023,Surgical Care Improvement Project Process of Care Measures,97
380005,Heart Attack or Chest Pain Process of Care Measures,N/A
450340,Surgical Care Improvement Project Process of Care Measures,98
190161,Pneumonia Process of Care Measures,90
100105,Pneumonia Process of Care Measures,88
191322,Surgical Care Improvement Project Process of Care Measures,0
50492,Pneumonia Process of Care Measures,94
450651,Heart Failure Process of Care Measures,100
50296,Pneumonia Process of Care Measures,83
170094,Pneumonia Process of Care Measures,98
300029,Pneumonia Process of Care Measures,98
420026,Surgical Care Improvement Project Process of Care Measures,97
150162,Heart Attack or Chest Pain Process of Care Measures,97
251309,Heart Attack or Chest Pain Process of Care Measures,N/A
171337,Heart Attack or Chest Pain Process of Care Measures,100
390203,Surgical Care Improvement Project Process of Care Measures,92
150047,Surgical Care Improvement Project Process of Care Measures,97
450330,Heart Attack or Chest Pain Process of Care Measures,93
40017,Heart Attack or Chest Pain Process of Care Measures,75
370203,Surgical Care Improvement Project Process of Care Measures,N/A
110054,Surgical Care Improvement Project Process of Care Measures,96
420036,Surgical Care Improvement Project Process of Care Measures,100
140124,Heart Failure Process of Care Measures,99
471307,Pneumonia Process of Care Measures,99
420048,Surgical Care Improvement Project Process of Care Measures,77
50138,Surgical Care Improvement Project Process of Care Measures,98
140147,Heart Attack or Chest Pain Process of Care Measures,83
100077,Heart Attack or Chest Pain Process of Care Measures,78
10058,Pneumonia Process of Care Measures,64
340075,Pneumonia Process of Care Measures,99
330232,Pneumonia Process of Care Measures,97
50367,Surgical Care Improvement Project Process of Care Measures,81
250093,Surgical Care Improvement Project Process of Care Measures,92
361323,Surgical Care Improvement Project Process of Care Measures,80
291311,Surgical Care Improvement Project Process of Care Measures,N/A
190183,Surgical Care Improvement Project Process of Care Measures,95
10056,Pneumonia Process of Care Measures,94
50438,Surgical Care Improvement Project Process of Care Measures,100
501338,Surgical Care Improvement Project Process of Care Measures,N/A
241345,Heart Attack or Chest Pain Process of Care Measures,N/A
171314,Surgical Care Improvement Project Process of Care Measures,N/A
440132,Pneumonia Process of Care Measures,94
431335,Surgical Care Improvement Project Process of Care Measures,81
450005,Surgical Care Improvement Project Process of Care Measures,97
100077,Heart Attack or Chest Pain Process of Care Measures,100
410007,Surgical Care Improvement Project Process of Care Measures,100
670043,Surgical Care Improvement Project Process of Care Measures,97
11300,Heart Attack or Chest Pain Process of Care Measures,N/A
50254,Pneumonia Process of Care Measures,95
420033,Heart Attack or Chest Pain Process of Care Measures,3
490044,Surgical Care Improvement Project Process of Care Measures,95
511307,Surgical Care Improvement Project Process of Care Measures,N/A
150076,Heart Attack or Chest Pain Process of Care Measures,67
31309,Heart Attack or Chest Pain Process of Care Measures,N/A
310111,Heart Attack or Chest Pain Process of Care Measures,100
520097,Surgical Care Improvement Project Process of Care Measures,90
260048,Surgical Care Improvement Project Process of Care Measures,79
50180,Heart Attack or Chest Pain Process of Care Measures,100
360078,Heart Attack or Chest Pain Process of Care Measures,93
510086,Heart Attack or Chest Pain Process of Care Measures,41
220002,Surgical Care Improvement Project Process of Care Measures,97
381321,Pneumonia Process of Care Measures,95
450779,Pneumonia Process of Care Measures,88
190167,Pneumonia Process of Care Measures,96
220175,Pneumonia Process of Care Measures,95
70021,Heart Failure Process of Care Measures,79
451370,Heart Failure Process of Care Measures,N/A
171381,Heart Failure Process of Care Measures,79
10043,Surgical Care Improvement Project Process of Care Measures,100
70035,Heart Attack or Chest Pain Process of Care Measures,88
220062,Heart Attack or Chest Pain Process of Care Measures,N/A
100220,Heart Attack or Chest Pain Process of Care Measures,N/A
50006,Pneumonia Process of Care Measures,100
150022,Pneumonia Process of Care Measures,100
360091,Surgical Care Improvement Project Process of Care Measures,92
330067,Pneumonia Process of Care Measures,99
360355,Pneumonia Process of Care Measures,N/A
190274,Pneumonia Process of Care Measures,100
23011F,Surgical Care Improvement Project Process of Care Measures,87
450604,Heart Attack or Chest Pain Process of Care Measures,N/A
171349,Pneumonia Process of Care Measures,80
41305,Pneumonia Process of Care Measures,98
450372,Surgical Care Improvement Project Process of Care Measures,100
510053,Surgical Care Improvement Project Process of Care Measures,94
450379,Heart Attack or Chest Pain Process of Care Measures,N/A
41302,Heart Attack or Chest Pain Process of Care Measures,N/A
31001F,Heart Failure Process of Care Measures,100
390263,Surgical Care Improvement Project Process of Care Measures,97
121303,Surgical Care Improvement Project Process of Care Measures,N/A
110059,Heart Attack or Chest Pain Process of Care Measures,18
100176,Heart Attack or Chest Pain Process of Care Measures,94
330198,Heart Attack or Chest Pain Process of Care Measures,N/A
521332,Heart Failure Process of Care Measures,100
450730,Heart Failure Process of Care Measures,100
340047,Pneumonia Process of Care Measures,97
450651,Heart Attack or Chest Pain Process of Care Measures,N/A
450018,Pneumonia Process of Care Measures,90
370048,Pneumonia Process of Care Measures,92
161375,Surgical Care Improvement Project Process of Care Measures,71
220051,Heart Attack or Chest Pain Process of Care Measures,6
101308,Surgical Care Improvement Project Process of Care Measures,N/A
240044,Heart Attack or Chest Pain Process of Care Measures,100
50444,Heart Attack or Chest Pain Process of Care Measures,90
210054,Pneumonia Process of Care Measures,89
521340,Surgical Care Improvement Project Process of Care Measures,N/A
330088,Heart Attack or Chest Pain Process of Care Measures,N/A
450639,Heart Attack or Chest Pain Process of Care Measures,100
220050,Heart Attack or Chest Pain Process of Care Measures,118
520066,Surgical Care Improvement Project Process of Care Measures,100
330350,Heart Attack or Chest Pain Process of Care Measures,99
230040,Heart Failure Process of Care Measures,100
261312,Pneumonia Process of Care Measures,33
310039,Heart Attack or Chest Pain Process of Care Measures,100
171328,Heart Attack or Chest Pain Process of Care Measures,N/A
450187,Pneumonia Process of Care Measures,100
320059,Surgical Care Improvement Project Process of Care Measures,100
141332,Surgical Care Improvement Project Process of Care Measures,N/A
50717,Heart Attack or Chest Pain Process of Care Measures,N/A
150177,Surgical Care Improvement Project Process of Care Measures,N/A
321301,Heart Attack or Chest Pain Process of Care Measures,100
50028,Heart Attack or Chest Pain Process of Care Measures,100
440162,Pneumonia Process of Care Measures,N/A
330306,Pneumonia Process of Care Measures,95
110124,Surgical Care Improvement Project Process of Care Measures,87
430081,Surgical Care Improvement Project Process of Care Measures,100
450058,Heart Attack or Chest Pain Process of Care Measures,89
320067,Heart Attack or Chest Pain Process of Care Measures,100
340040,Heart Failure Process of Care Measures,99
60032,Surgical Care Improvement Project Process of Care Measures,94
360245,Heart Attack or Chest Pain Process of Care Measures,N/A
170016,Surgical Care Improvement Project Process of Care Measures,97
150160,Surgical Care Improvement Project Process of Care Measures,100
260195,Heart Attack or Chest Pain Process of Care Measures,0
450580,Heart Attack or Chest Pain Process of Care Measures,100
340030,Heart Attack or Chest Pain Process of Care Measures,100
50570,Pneumonia Process of Care Measures,100
450840,Pneumonia Process of Care Measures,99
50042,Pneumonia Process of Care Measures,93
50103,Surgical Care Improvement Project Process of Care Measures,86
360078,Surgical Care Improvement Project Process of Care Measures,95
450880,Heart Attack or Chest Pain Process of Care Measures,N/A
190037,Pneumonia Process of Care Measures,N/A
30001,Pneumonia Process of Care Measures,91
40088,Pneumonia Process of Care Measures,100
140052,Heart Attack or Chest Pain Process of Care Measures,95
520013,Heart Failure Process of Care Measures,100
190106,Surgical Care Improvement Project Process of Care Measures,36
260057,Surgical Care Improvement Project Process of Care Measures,92
41316,Surgical Care Improvement Project Process of Care Measures,N/A
150072,Surgical Care Improvement Project Process of Care Measures,100
200025,Heart Attack or Chest Pain Process of Care Measures,86
141348,Heart Attack or Chest Pain Process of Care Measures,6
